"Land

";Regierungsbezirk;"Statistische Kennziffer und Zulassungsbezirk
";Insgesamt;Nach Kraftstoffarten;;;;;;;Nach Emissionsgruppen;;;;;;;;;;Darunter dieselangetriebene Pkw nach Emissionsgruppen;;;;;;;;;
;;;;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoff-
reduzierte 
insgesamt";Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoffred.
mit Diesel-
antrieb insgesamt"
;;08222 MANNHEIM,STADT;156.176;97.209;44.938;844;10.062;3.894;3.101;22;1.567;6.542;8.091;32.204;30.224;70.148;20.178;17.796;3.648;152.424;150;911;2.890;5.997;11.497;23.002;5.570;6.012;167;44.614
;;08225 NECKAR-ODENWALD-KREIS;97.042;58.576;32.272;612;3.753;1.459;1.818;11;781;3.879;4.876;20.319;23.030;40.846;7.831;9.993;2.111;95.842;111;811;2.308;4.387;10.760;13.626;1.712;2.847;87;32.090
;;08226 RHEIN-NECKAR-KREIS;358.462;228.244;99.172;2.079;19.808;9.376;9.098;61;3.500;14.983;18.111;71.758;77.915;156.383;35.301;41.584;10.161;352.811;357;2.509;6.817;12.521;30.121;45.827;7.186;12.064;326;98.478
;;08231 PFORZHEIM,STADT;63.725;40.994;17.719;369;3.270;1.402;1.365;8;505;2.365;3.224;13.417;14.155;27.597;6.042;6.814;1.507;62.770;31;362;1.222;2.600;5.481;7.913;965;1.665;28;17.637
;;08235 CALW;109.045;65.064;35.257;721;4.614;1.687;3.367;22;988;4.026;5.045;20.885;24.543;47.996;10.391;11.775;3.667;107.150;105;874;2.437;4.596;11.010;15.827;2.321;3.485;108;34.957
;;08236 ENZKREIS;136.264;89.124;37.060;921;5.823;2.401;3.309;27;1.259;5.708;6.959;27.362;30.910;57.782;11.358;14.721;3.677;133.657;113;1.036;2.792;4.836;11.686;16.174;2.119;3.744;101;36.738
;;08237 FREUDENSTADT;79.815;46.398;27.783;478;3.627;1.399;1.517;12;584;2.642;3.556;15.177;19.134;35.841;7.849;8.735;1.754;78.688;74;630;1.791;3.495;9.271;12.279;1.737;2.652;64;27.604
;RB ZUSAMMEN;;1.679.409;1.050.048;492.725;10.381;85.811;34.912;40.124;320;16.163;71.482;87.137;340.853;369.712;720.039;162.590;183.397;45.161;1.650.547;1.624;13.049;35.151;65.369;150.344;221.985;35.238;54.189;1.561;489.083
;RB FREIBURG;08311 FREIBURG I.BREISG.STADT;95.149;56.002;31.560;726;4.367;1.694;2.464;30;1.298;5.393;6.179;20.432;20.440;36.658;8.422;9.120;2.812;93.212;191;1.391;2.715;4.297;8.751;13.671;2.678;3.433;168;31.184
;;08315 BREISGAU-HOCHSCHWARZWALD;162.886;99.684;52.232;937;5.910;2.113;4.078;45;1.885;7.916;9.641;35.534;39.073;60.988;10.423;14.839;4.755;159.792;260;1.880;4.254;7.419;17.192;20.494;2.517;4.571;290;51.789
;;08316 EMMENDINGEN;104.546;66.071;31.889;627;3.586;1.290;2.359;14;1.114;5.454;6.523;24.425;25.233;37.298;6.270;9.125;2.767;102.814;145;1.169;2.778;4.881;10.453;12.039;1.473;2.666;159;31.624
;;08317 ORTENAUKREIS;280.455;173.537;89.407;1.448;9.821;3.795;6.196;46;2.842;13.514;17.156;64.551;66.462;104.499;19.084;25.492;7.173;276.197;376;2.927;7.480;13.675;28.683;35.243;4.801;7.769;318;88.702
;;08325 ROTTWEIL;96.677;57.442;32.610;530;4.144;1.670;1.935;16;779;3.141;4.233;18.309;23.490;42.951;8.336;10.936;2.281;95.184;100;675;2.098;4.053;10.800;14.521;1.870;3.281;117;32.364
;;08326 SCHWARZWALD-BAAR-KREIS;134.908;82.544;42.105;880;6.715;2.516;2.637;27;1.019;4.091;5.704;24.879;32.327;61.684;12.227;15.792;3.114;132.818;156;915;2.708;5.061;13.856;19.013;2.455;4.309;136;41.845
;;08327 TUTTLINGEN;92.082;54.565;30.106;499;4.881;2.007;2.013;18;691;2.572;3.658;16.052;21.448;44.062;9.124;11.536;2.322;90.805;103;619;1.800;3.463;9.668;14.219;1.882;3.276;81;29.953
;;08335 KONSTANZ;165.023;106.329;45.945;1.288;7.252;2.620;4.175;34;1.629;6.676;8.657;34.672;38.288;67.270;12.972;16.715;4.958;162.150;257;1.535;3.643;5.512;14.692;19.646;2.690;4.502;277;45.562
;;08336 LOERRACH;139.232;89.581;39.701;492;6.084;1.941;3.341;33;1.352;5.957;7.680;29.308;33.173;55.477;10.130;13.635;3.747;136.694;201;1.400;3.138;5.134;12.914;16.384;2.001;3.571;140;39.311
;;08337 WALDSHUT;110.500;69.349;33.966;430;4.098;1.524;2.626;31;988;3.914;5.581;22.292;27.347;45.773;7.947;11.309;3.082;108.977;124;891;2.311;4.088;11.351;14.873;1.800;3.248;135;33.773
;RB ZUSAMMEN;;1.381.458;855.104;429.521;7.857;56.858;21.170;31.824;294;13.597;58.628;75.012;290.454;327.281;556.660;104.935;138.499;37.011;1.358.643;1.913;13.402;32.925;57.583;138.360;180.103;24.167;40.626;1.821;426.107
;RB TUEBINGEN;08415 REUTLINGEN;183.480;116.691;53.559;1.328;8.080;3.564;3.793;29;1.428;6.549;7.867;35.431;42.846;81.772;17.033;21.007;4.237;180.130;123;1.231;3.511;6.174;16.836;25.081;3.709;5.931;153;53.109
;;08416 TUEBINGEN;129.003;79.673;39.613;1.220;5.517;2.415;2.949;31;1.086;5.015;5.948;25.538;30.052;55.729;11.859;14.303;3.323;126.691;133;1.142;2.740;4.712;11.973;18.360;3.193;4.798;146;39.206
;;08417 ZOLLERNALBKREIS;131.213;82.441;39.854;912;5.615;2.294;2.368;23;921;4.343;5.642;24.106;30.535;60.700;12.325;15.812;2.718;128.965;90;893;2.572;4.680;12.961;18.267;2.461;4.306;121;39.584
;;08421 ULM,STADT;67.727;39.137;22.454;467;3.889;1.482;1.768;12;496;1.979;2.575;12.180;14.452;33.041;8.611;8.568;1.893;66.616;39;396;1.134;2.416;6.085;12.219;2.588;3.288;46;22.335
;;08425 ALB-DONAU-KREIS;132.984;79.695;44.842;824;4.644;1.770;2.957;22;1.028;4.317;5.682;26.706;32.841;56.734;10.003;13.839;3.331;130.639;110;901;2.777;6.262;14.945;19.447;2.060;4.074;111;44.553
;;08426 BIBERACH;136.070;78.134;49.673;730;4.330;1.591;3.189;14;998;4.449;6.234;27.515;34.860;56.083;9.239;13.494;3.677;133.816;138;1.065;3.308;6.694;16.906;21.135;2.346;4.549;143;49.389
;;08435 BODENSEEKREIS;142.071;87.267;43.069;845;7.647;3.355;3.215;28;1.359;5.952;7.261;28.440;32.447;59.502;13.540;14.433;3.878;138.839;252;1.596;3.475;5.621;13.871;17.658;2.569;3.920;204;42.677
;;08436 RAVENSBURG;185.550;108.427;65.117;1.063;6.622;2.802;4.288;33;1.591;7.015;9.287;37.953;45.456;75.696;14.187;18.568;5.226;182.224;305;2.140;4.978;8.760;21.503;26.586;3.387;5.755;320;64.592
;;08437 SIGMARINGEN;89.350;52.223;31.014;655;3.768;1.258;1.675;15;698;3.069;4.182;17.792;22.376;37.848;7.538;8.972;2.009;87.974;112;749;2.137;4.193;10.742;12.781;1.568;2.665;104;30.818
;RB ZUSAMMEN;;1.197.448;723.688;389.195;8.044;50.112;20.531;26.202;207;9.605;42.688;54.678;235.661;285.865;517.105;104.335;128.996;30.292;1.175.894;1.302;10.113;26.632;49.512;125.822;171.534;23.881;39.286;1.348;386.263
