"Land

";Regierungsbezirk;"Statistische Kennziffer und Zulassungsbezirk
";Insgesamt;Nach Kraftstoffarten;;;;;;;Nach Emissionsgruppen;;;;;;;;;;Darunter dieselangetriebene Pkw nach Emissionsgruppen;;;;;;;;;
;;;;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoff-
reduzierte 
insgesamt";Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoffred.
mit Diesel-
antrieb insgesamt"
BADEN-WUERTTEMBERG;RB STUTTGART                ;08111  STUTTGART,STADT;302.792;197.259;72.696;2.093;22.294;11.991;8.397;53;3.156;12.642;11.901;50.920;51.020;157.147;39.000;47.345;9.292;296.078;131;1.237;2.713;3.414;13.539;50.749;10.396;16.591;220;72.003
;;08115  BOEBLINGEN;257.554;162.486;70.455;1.429;16.577;8.118;6.558;49;2.080;9.605;10.798;46.389;52.156;125.054;29.811;34.150;7.107;253.189;172;1.659;4.434;8.162;19.339;35.984;6.157;9.390;176;69.926
;;08116  ESSLINGEN;337.566;223.696;92.231;1.939;13.629;5.148;6.001;70;3.445;14.483;16.288;67.556;73.253;148.424;23.597;43.675;7.016;330.465;338;2.428;6.370;10.192;25.506;46.335;5.958;13.872;305;91.474
;;08117  GOEPPINGEN;168.923;109.087;50.610;1.403;5.497;2.052;2.296;30;1.451;7.024;8.481;35.226;40.118;71.031;9.435;20.282;2.825;166.156;152;1.302;3.651;6.636;15.741;22.587;2.304;5.992;176;50.245
;;08118  LUDWIGSBURG;336.361;232.423;83.192;2.100;13.324;5.535;5.254;68;3.211;15.535;16.762;69.988;73.220;145.927;20.707;43.447;5.900;330.543;152;2.162;5.646;9.189;23.690;41.580;4.480;11.581;172;82.591
;;08119  REMS-MURR-KREIS;269.889;183.648;70.807;1.806;9.410;3.871;4.168;50;2.746;13.336;14.199;57.764;58.242;113.530;16.553;33.328;4.857;264.674;205;2.169;5.332;8.718;19.917;33.604;3.736;9.098;200;70.145
;;08121  HEILBRONN,STADT;68.897;44.885;20.066;478;2.675;1.114;783;10;586;3.224;3.897;16.095;14.861;28.420;4.043;8.151;918;68.001;30;443;1.379;2.739;5.886;9.471;831;2.481;18;19.966
;;08125  HEILBRONN;250.335;157.155;74.841;1.511;13.229;3.501;3.552;47;2.315;11.563;13.647;53.066;53.487;107.609;24.200;30.733;4.981;246.668;184;2.035;5.820;10.087;22.578;33.358;4.342;9.539;352;74.414
