;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraftomni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahrzeug-
anh‰nger"
;;09183 MUEHLDORF A.INN;10.662;10.076;154;432;1.456;78.287;25.142;38.854;11.967;2.324;3.454;12.574;1.588;30;6.674;26.243;653;135;5.789;1.905;3.075;47;201;101;146;313;1;9.606;307;8.133;1.166;624;16.154;105.103;877;18.662
;;09184 MUENCHEN;24.592;24.053;370;169;3.507;245.839;64.294;121.106;46.008;14.431;15.517;58.246;4.659;29;71.067;67.820;691;394;20.219;6.841;10.445;292;881;325;564;863;8;5.212;580;4.036;596;2.138;27.963;298.394;838;22.547
;;09185 NEUBURG-SCHROBENHAUSEN;10.156;9.667;219;270;1.406;67.866;21.152;34.737;10.346;1.631;3.084;10.943;1.262;17;5.757;21.635;679;111;4.915;1.497;2.558;66;229;91;156;315;3;8.198;428;6.350;1.420;511;13.735;91.757;918;17.596
;;09186 PFAFFENHOFEN A.D.ILM;13.345;12.845;211;289;1.858;87.404;26.101;44.505;13.981;2.817;4.339;15.039;1.671;26;6.758;28.459;662;47;6.057;1.613;3.408;55;258;130;169;421;3;9.705;603;7.595;1.507;528;16.337;117.086;886;19.957
;;09187 ROSENHEIM;25.011;24.201;384;426;3.509;178.010;59.925;84.417;27.815;5.853;8.814;34.502;5.239;24;18.310;63.261;667;222;13.488;4.493;7.268;100;537;223;316;550;1;16.644;1.004;13.024;2.616;1.063;31.417;234.438;878;35.892
;;09188 STARNBERG;11.177;10.917;146;114;1.531;89.870;26.242;41.675;17.914;4.039;7.776;20.532;2.418;26;12.137;31.718;648;71;5.518;1.920;3.004;42;175;44;124;207;2;3.583;148;2.679;756;531;9.703;110.750;798;13.676
;;09189 TRAUNSTEIN;16.320;15.814;166;340;2.148;121.906;40.787;59.353;17.851;3.915;5.605;22.834;3.508;48;10.287;42.005;674;189;8.684;2.817;4.390;53;342;155;252;672;3;14.603;848;11.364;2.391;1.045;24.521;162.747;900;27.094
;;09190 WEILHEIM-SCHONGAU;13.434;13.000;188;246;1.836;91.322;31.116;43.305;14.008;2.893;4.128;16.542;3.405;30;7.659;32.257;661;90;6.362;2.174;3.399;51;255;69;115;297;2;10.923;173;8.382;2.368;538;17.913;122.669;888;19.492
;RB ZUSAMMEN;;352.831;342.435;5.096;5.300;48.453;2.900.749;871.624;1.442.892;473.846;112.387;155.674;586.695;67.608;915;524.678;897.631;604;4.631;197.721;64.293;106.944;1.641;8.116;3.201;4.591;8.854;81;170.648;8.163;133.157;29.328;20.812;393.812;3.647.392;760;420.194
;RB NIEDERBAYERN;09261 LANDSHUT,STADT;4.229;4.139;47;43;597;39.345;12.618;19.435;6.029;1.263;1.847;6.287;745;30;4.761;13.403;521;84;2.199;687;1.155;30;83;69;72;102;1;795;48;632;115;193;3.271;46.845;621;4.147
;;09262 PASSAU,STADT;3.496;3.399;62;35;483;30.264;9.756;15.242;4.271;995;1.279;5.640;496;55;5.411;9.775;561;77;2.576;712;1.291;18;105;50;62;338;-;906;140;658;108;286;3.845;37.605;698;4.842
;;09263 STRAUBING,STADT;2.535;2.422;60;53;343;28.254;9.502;13.776;4.233;743;1.250;4.445;376;16;4.186;9.165;575;52;2.233;814;1.031;22;121;61;61;123;-;715;91;556;68;478;3.478;34.267;697;3.860
;;09271 DEGGENDORF;11.176;10.559;133;484;1.610;81.987;25.907;42.378;11.376;2.326;3.175;15.376;1.102;31;8.749;27.128;671;172;6.804;2.057;3.618;31;311;113;226;443;5;10.341;352;8.409;1.580;682;17.999;111.162;910;19.872
;;09272 FREYUNG-GRAFENAU;10.091;9.403;94;594;1.241;54.766;17.889;28.573;7.074;1.230;1.731;15.902;841;66;4.545;17.500;691;146;4.020;1.303;2.077;23;164;120;128;205;-;11.529;171;9.104;2.254;450;16.145;81.002;1.022;14.295
;;09273 KELHEIM;12.047;11.495;196;356;1.641;84.222;25.967;43.227;12.673;2.355;3.761;13.603;1.266;32;6.460;26.960;670;236;5.943;1.759;3.333;36;273;91;147;300;4;10.259;433;8.302;1.524;562;17.000;113.269;901;18.868
;;09274 LANDSHUT;16.128;15.304;264;560;2.111;114.285;33.384;59.167;17.822;3.912;5.041;19.481;2.141;12;9.605;37.195;694;182;8.815;2.568;4.763;106;481;212;226;456;3;14.877;457;12.335;2.085;875;24.749;155.162;942;27.958
;;09275 PASSAU;20.791;19.767;243;781;2.604;134.174;44.248;67.529;18.408;3.989;5.089;27.198;1.968;1;10.694;45.390;681;340;9.357;3.093;4.655;65;484;185;310;562;3;20.108;811;15.514;3.783;927;30.732;185.697;943;35.530
;;09276 REGEN;7.947;7.394;82;471;951;51.663;17.018;26.780;6.682;1.183;1.570;14.715;732;17;4.493;16.822;662;90;3.859;1.255;2.108;24;142;50;80;197;3;9.911;99;8.186;1.626;413;14.273;73.883;947;13.480
;;09277 ROTTAL-INN;12.731;11.886;153;692;1.608;86.780;26.781;45.000;12.686;2.313;3.813;14.257;1.487;28;9.507;27.927;697;205;7.520;2.463;3.835;66;439;120;183;406;8;16.614;345;14.297;1.972;871;25.210;124.721;1.002;24.918
;;09278 STRAUBING-BOGEN;10.280;9.552;135;593;1.321;71.999;22.979;36.795;10.253;1.972;3.074;12.701;1.010;121;4.360;23.506;694;118;5.200;1.676;2.769;37;238;107;119;251;3;13.738;342;10.973;2.423;549;19.605;101.884;981;20.150
;;09279 DINGOLFING-LANDAU;9.503;8.950;194;359;1.250;73.005;18.161;40.596;12.070;2.178;3.507;12.687;1.126;22;9.487;20.824;728;155;4.480;1.512;2.274;23;208;87;122;251;3;10.053;667;7.956;1.430;480;15.168;97.676;974;19.197
;RB ZUSAMMEN;;120.954;114.270;1.663;5.021;15.760;850.744;264.210;438.498;123.577;24.459;35.137;162.292;13.290;431;82.258;275.595;668;1.857;63.006;19.899;32.909;481;3.049;1.265;1.736;3.634;33;119.846;3.956;96.922;18.968;6.766;191.475;1.163.173;913;207.117
;RB OBERPFALZ;09361 AMBERG,STADT;2.298;2.228;34;36;298;25.301;9.068;12.198;3.215;820;1.041;3.528;389;29;3.170;8.740;595;45;1.641;588;795;14;80;29;58;76;1;680;131;456;93;147;2.513;30.112;708;3.343
;;09362 REGENSBURG,STADT;7.632;7.427;109;96;1.074;83.290;27.055;41.705;11.514;3.016;3.599;14.102;1.426;86;19.284;25.696;529;387;6.069;1.942;3.295;64;295;89;126;256;2;1.522;598;848;76;986;8.964;99.886;634;8.164
;;09363 WEIDEN I.D.OPF.,STADT;2.631;2.524;41;66;411;26.470;9.634;12.761;3.425;650;1.018;3.784;392;37;3.854;9.035;615;40;1.987;733;916;19;137;29;58;92;3;716;97;507;112;181;2.924;32.025;744;3.751
;;09371 AMBERG-SULZBACH;10.231;9.742;94;395;1.289;72.089;25.104;35.855;8.948;2.182;2.702;10.896;1.243;2;4.951;24.449;690;229;4.478;1.450;2.381;46;233;57;89;221;1;10.846;232;8.234;2.380;445;15.998;98.318;941;17.264
;;09372 CHAM;14.999;14.054;143;802;1.849;92.298;30.816;47.260;11.816;2.406;2.885;17.823;984;38;8.434;29.097;709;141;8.221;2.482;4.086;74;403;197;341;634;4;18.854;459;14.676;3.719;877;28.093;135.390;1.040;25.683
;;09373 NEUMARKT I.D.OPF.;13.704;13.107;151;446;1.807;92.867;30.590;47.900;11.729;2.648;3.625;13.609;1.625;26;11.089;28.449;673;214;7.793;2.672;3.923;58;381;131;211;415;2;13.082;510;10.327;2.245;709;21.798;128.369;930;21.511
;;09374 NEUSTADT A.D.WALDNAAB;10.188;9.568;114;506;1.477;66.854;23.561;33.576;8.062;1.655;2.268;9.944;905;1;4.556;21.949;697;66;4.107;1.351;2.044;38;236;64;119;254;1;11.043;296;8.085;2.662;544;15.760;92.802;967;16.789
;;09375 REGENSBURG;19.217;18.455;207;555;2.613;132.561;45.575;64.549;18.321;4.116;5.821;21.381;2.197;2;11.289;44.295;669;263;9.612;3.051;4.977;50;435;277;277;541;4;13.205;875;10.172;2.158;873;23.953;175.731;887;28.351
;;09376 SCHWANDORF;16.612;15.828;250;534;2.182;104.453;34.915;54.045;13.076;2.417;3.733;15.286;1.372;52;9.459;33.437;688;139;7.024;2.242;3.609;56;309;80;160;564;4;14.999;1.155;10.848;2.996;873;23.035;144.100;950;27.451
;;09377 TIRSCHENREUTH;7.719;7.276;65;378;990;49.584;18.669;24.439;5.471;1.005;1.532;7.597;570;29;3.698;16.212;687;101;3.580;1.207;1.822;27;194;32;90;208;-;8.598;444;6.275;1.879;486;12.765;70.068;971;13.332
;RB ZUSAMMEN;;105.231;100.209;1.208;3.814;13.990;745.767;254.987;374.288;95.577;20.915;28.224;117.950;11.103;302;79.784;241.359;658;1.625;54.512;17.718;27.848;446;2.703;985;1.529;3.261;22;93.545;4.797;70.428;18.320;6.121;155.803;1.006.801;888;165.639
