;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anh‰nger"
;;09277  ROTTAL-INN                       ;11.866;11.007;119;740;1.397;83.737;26.411;44.298;12.580;448;3.659;12.292;1.078;27;9.024;26.823;689;201;6.722;2.336;3.174;76;453;126;187;366;4;15.985;363;13.069;456;777;23.685;119.288;982;23.057
;;09278  STRAUBING-BOGEN                  ;9.499;8.747;99;653;1.156;69.587;22.666;36.450;10.114;357;2.953;11.234;733;122;4.012;22.347;688;101;4.618;1.448;2.418;53;246;102;114;236;1;13.294;341;9.555;465;514;18.527;97.613;965;18.706
;;09279  DINGOLFING-LANDAU                ;8.907;8.383;131;393;1.130;70.342;17.889;40.256;11.756;441;3.378;10.913;865;20;8.916;19.741;728;115;4.099;1.398;1.950;23;236;106;127;257;2;9.686;626;6.975;257;456;14.356;93.605;968;17.830
;RB ZUSAMMEN;;112.172;105.447;1.226;5.499;14.024;823.205;261.294;434.120;123.024;4.767;34.114;143.417;9.720;423;75.124;264.539;662;1.606;56.747;18.225;28.434;516;3.188;1.316;1.649;3.400;19;114.875;3.709;85.803;4.680;6.220;179.448;1.114.825;896;192.526
;RB OBERPFALZ                     ;09361  AMBERG,STADT                     ;2.163;2.095;26;42;284;25.300;9.151;12.532;3.393;224;1.059;3.189;314;30;3.033;8.718;599;39;1.492;560;660;15;80;30;67;80;-;630;106;393;39;130;2.291;29.754;705;3.124
;;09362  REGENSBURG,STADT                 ;7.317;7.148;98;71;1.066;85.627;29.134;43.778;11.979;736;3.535;12.870;1.012;72;21.849;25.543;559;369;10.162;2.533;5.617;58;984;582;181;205;2;1.370;528;626;89;834;12.735;105.679;690;7.606
;;09363  WEIDEN I.D.OPF.,STADT            ;2.499;2.393;41;65;374;26.189;9.579;12.858;3.626;126;1.041;3.363;288;37;3.523;8.821;613;40;1.888;710;807;18;145;28;64;116;-;696;112;424;66;171;2.795;31.483;737;3.637
;;09371  AMBERG-SULZBACH                  ;9.443;8.925;86;432;1.174;70.777;24.787;36.624;8.945;421;2.681;9.794;915;1;4.642;23.688;687;191;4.035;1.331;2.019;41;232;59;80;273;-;10.330;231;7.246;493;431;14.987;95.207;924;16.018
;;09372  CHAM                             ;14.075;13.105;114;856;1.675;89.687;30.292;47.331;11.664;400;2.828;15.793;696;37;7.520;27.863;701;124;7.172;2.135;3.427;84;403;196;334;587;6;17.993;379;12.519;735;815;26.104;129.866;1.015;23.739
;;09373  NEUMARKT I.D.OPF.                ;12.847;12.198;130;519;1.643;90.148;30.328;47.595;11.653;572;3.556;11.919;1.127;26;10.048;27.332;670;150;6.934;2.400;3.379;49;381;125;203;395;2;12.580;547;9.190;493;663;20.327;123.322;916;19.716
;;09374  NEUSTADT A.D.WALDNAAB            ;9.536;8.888;92;556;1.325;65.551;23.379;33.655;8.202;315;2.190;8.928;642;1;3.950;21.290;694;52;3.568;1.158;1.717;40;256;75;105;216;1;10.792;359;6.946;482;516;14.928;90.015;953;15.798
;;09375  REGENSBURG                       ;18.174;17.379;165;630;2.418;127.778;43.861;64.666;18.451;800;5.850;19.212;1.644;2;8.637;42.815;658;208;8.097;2.690;3.856;46;455;264;249;531;6;12.569;843;8.794;527;798;21.672;167.624;864;26.619
;;09376  SCHWANDORF                       ;15.633;14.832;203;598;1.994;101.509;33.964;54.192;12.903;450;3.611;13.359;975;50;8.718;32.040;686;120;6.244;2.052;3.017;54;312;97;157;552;3;14.215;1.042;8.933;573;846;21.425;138.567;937;25.601
;;09377  TIRSCHENREUTH                    ;7.328;6.843;55;430;953;48.977;18.640;24.717;5.439;181;1.452;6.766;402;26;3.282;15.667;680;86;3.084;1.005;1.524;29;203;38;100;185;-;8.197;339;5.454;345;449;11.816;68.121;946;12.212
;RB ZUSAMMEN;;99.015;93.806;1.010;4.199;12.906;731.543;253.115;377.948;96.255;4.225;27.803;105.193;8.015;282;75.202;233.777;658;1.379;52.676;16.574;26.023;434;3.451;1.494;1.540;3.140;20;89.372;4.486;60.525;3.842;5.653;149.080;979.638;881;154.070
;RB OBERFRANKEN                   ;09461  BAMBERG,STADT                    ;4.542;4.441;42;59;667;41.168;14.395;20.477;5.936;360;1.845;4.579;634;49;7.562;13.703;532;79;3.149;1.092;1.337;27;226;132;139;193;3;1.098;627;309;25;850;5.176;50.886;658;4.867
;;09462  BAYREUTH,STADT                   ;3.395;3.254;51;90;503;39.934;14.559;19.801;5.223;351;1.672;5.201;458;34;7.342;13.394;534;67;3.022;1.069;1.361;38;154;89;157;153;1;767;150;446;30;526;4.382;47.711;638;3.986
;;09463  COBURG,STADT                     ;2.514;2.453;17;44;325;25.122;9.122;12.337;3.470;193;1.321;3.213;278;30;4.204;8.350;612;56;1.539;536;789;38;68;20;48;39;1;355;33;214;38;175;2.125;29.761;725;2.564
;;09464  HOF,STADT                        ;2.233;2.170;17;46;318;25.725;11.047;11.507;2.985;186;933;3.031;238;34;3.492;8.757;561;54;1.664;579;701;18;91;49;89;136;1;724;200;376;53;246;2.688;30.646;669;3.369
;;09471  BAMBERG                          ;13.789;13.259;113;417;1.959;102.337;35.682;52.354;13.676;625;4.236;11.867;1.383;1;6.317;35.979;695;124;6.619;2.088;2.971;59;395;100;131;872;3;11.757;406;8.126;336;523;19.023;135.149;918;20.644
;;09472  BAYREUTH                         ;10.123;9.453;82;588;1.464;72.019;26.996;35.933;8.732;358;2.931;10.523;881;3;4.155;25.362;695;149;4.147;1.451;1.916;55;218;81;129;290;7;11.975;233;7.976;427;739;17.010;99.152;956;14.797
;;09473  COBURG                           ;7.045;6.781;67;197;981;59.104;22.924;28.583;7.257;340;2.593;7.269;597;1;3.997;21.423;681;19;3.387;1.150;1.562;63;225;71;117;195;4;5.167;395;3.207;201;336;8.909;75.058;865;11.501
;;09474  FORCHHEIM                        ;10.451;10.012;90;349;1.453;78.714;28.175;39.290;10.692;557;3.723;10.753;1.258;20;4.528;28.109;677;190;4.223;1.512;2.043;36;267;84;101;180;-;9.062;250;6.543;318;459;13.934;103.099;887;13.362
;;09475  HOF                              ;7.332;7.048;64;220;1.011;64.112;26.253;30.126;7.439;294;2.439;9.434;627;6;5.062;22.556;676;60;4.348;1.456;1.861;54;168;121;275;412;1;6.941;314;4.459;317;615;11.964;83.408;880;14.275
;;09476  KRONACH                          ;5.820;5.497;50;273;682;45.606;17.901;22.280;5.237;188;1.864;7.317;349;19;3.996;15.647;683;38;2.791;866;1.271;58;167;79;131;217;2;4.876;286;3.265;335;438;8.143;59.569;893;10.080
;;09477  KULMBACH                         ;6.127;5.885;41;201;889;49.976;18.732;24.639;6.345;260;2.115;6.874;606;16;4.941;17.869;698;79;3.290;1.139;1.624;48;153;50;75;200;1;5.860;258;3.807;281;308;9.537;65.640;917;10.539
;;09478  LICHTENFELS                      ;5.900;5.683;60;157;789;45.024;16.394;22.522;5.881;227;1.887;5.390;449;19;3.702;15.583;674;82;3.188;1.026;1.488;59;211;95;129;176;4;5.237;201;3.546;187;321;8.828;59.752;895;9.361
;;09479  WUNSIEDEL I.FICHTELGEB.          ;5.782;5.544;55;183;788;47.424;19.245;22.324;5.636;219;1.740;6.605;524;20;4.084;16.835;653;64;2.483;949;1.176;35;103;35;79;105;1;4.122;124;2.669;181;329;6.998;60.204;829;9.121
;RB ZUSAMMEN;;85.053;81.480;749;2.824;11.829;696.265;261.425;342.173;88.509;4.158;29.299;92.056;8.282;252;63.382;243.567;654;1.061;43.850;14.913;20.100;588;2.446;1.006;1.600;3.168;29;67.941;3.477;44.943;2.729;5.865;118.717;900.035;845;128.466
;RB MITTELFRANKEN                 ;09561  ANSBACH,STADT                    ;2.505;2.433;31;41;428;25.619;8.670;13.089;3.684;176;1.014;3.014;346;44;3.500;8.753;613;29;1.435;410;726;16;76;63;66;77;1;1.193;77;768;60;172;2.829;30.953;741;3.429
;;09562  ERLANGEN,STADT                   ;5.300;5.183;56;61;758;56.032;19.096;27.887;8.578;471;2.526;6.691;1.102;61;6.712;18.737;498;73;2.697;1.156;1.177;33;150;39;51;91;-;818;58;481;42;314;3.902;65.234;580;4.710
;;09563  FUERTH,STADT                     ;6.129;5.946;85;98;851;64.246;23.341;30.886;9.584;435;3.287;7.540;913;59;6.819;22.741;500;131;4.066;1.480;2.021;33;219;138;74;101;-;839;199;510;64;296;5.332;75.707;589;5.762
;;09564  NUERNBERG,STADT                  ;22.801;22.162;332;307;3.158;248.538;82.642;124.651;39.644;1.601;12.232;31.594;3.404;106;38.777;80.879;479;595;19.399;6.616;8.851;210;1.330;600;670;1.118;4;3.387;1.234;1.532;195;1.388;24.769;296.108;571;22.844
;;09565  SCHWABACH,STADT                  ;2.839;2.760;38;41;419;26.411;9.460;12.813;3.920;218;1.456;3.305;451;1;3.164;9.469;644;21;1.481;505;774;17;66;39;29;49;2;506;40;294;33;134;2.142;31.392;766;2.835
;;09571  ANSBACH                          ;16.764;16.009;203;552;2.387;126.828;42.008;67.154;16.961;705;5.102;14.135;1.814;-;8.595;42.405;687;188;8.312;2.609;4.082;89;503;179;241;606;3;22.723;640;15.047;517;1.074;32.297;175.889;953;30.055
;;09572  ERLANGEN-HOECHSTADT              ;10.151;9.813;115;223;1.456;92.549;30.662;47.013;14.114;760;4.787;12.142;1.648;4;7.775;32.846;674;124;4.228;1.465;2.049;46;244;80;100;242;2;5.680;346;3.555;208;389;10.421;113.121;824;13.790
;;09573  FUERTH                           ;9.436;9.119;120;197;1.402;77.713;29.055;36.823;11.338;497;4.429;9.265;1.288;-;4.184;29.550;659;43;4.511;1.533;2.270;46;311;122;95;133;1;3.511;139;2.582;184;323;8.388;95.537;811;10.432
;;09574  NUERNBERGER LAND                 ;14.088;13.685;124;279;2.079;111.830;39.324;55.385;16.371;750;5.896;15.523;2.075;38;9.939;40.269;655;65;6.325;2.213;3.111;90;327;118;143;320;3;8.191;353;5.369;267;608;15.189;141.107;826;16.822
;;09575  NEUSTADT/AISCH-WINDSHEIM         ;8.640;8.139;73;428;1.195;68.208;21.803;36.283;9.617;505;2.791;8.473;1.019;28;4.517;23.200;675;79;4.618;1.604;2.099;60;317;80;138;317;3;12.248;277;8.041;335;505;17.450;94.298;934;15.920
;;09576  ROTH                             ;12.065;11.631;101;333;1.714;87.322;29.970;44.035;12.796;521;4.180;11.085;1.503;31;7.318;30.228;689;137;6.120;1.835;3.090;46;349;171;211;413;5;9.439;660;6.002;317;587;16.283;115.670;913;17.323
;;09577  WEISSENBURG-GUNZENHAUSEN         ;8.235;7.793;82;360;1.149;62.941;21.583;32.083;8.824;451;2.552;8.205;1.106;28;4.961;20.916;664;106;3.747;1.214;1.827;45;225;58;124;254;-;10.468;315;6.959;354;492;14.813;85.989;908;14.716
;RB ZUSAMMEN;;118.953;114.673;1.360;2.920;16.996;1.048.237;357.614;528.102;155.431;7.090;50.252;130.972;16.669;400;106.261;359.993;590;1.591;66.939;22.640;32.077;731;4.117;1.687;1.942;3.721;24;79.003;4.338;51.140;2.576;6.282;153.815;1.321.005;744;158.638
;RB UNTERFRANKEN                  ;09661  ASCHAFFENBURG,STADT              ;3.549;3.453;47;49;425;42.860;14.948;20.833;6.740;339;2.343;5.384;488;53;7.089;14.257;604;99;3.680;1.144;1.859;45;225;95;140;170;2;505;107;242;41;291;4.575;50.984;718;4.138
;;09662  SCHWEINFURT,STADT                ;2.102;2.048;24;30;284;29.202;8.826;15.305;4.875;196;1.110;3.558;419;39;5.142;8.743;547;44;1.927;718;843;25;126;53;50;112;-;370;172;149;38;203;2.544;33.848;634;3.280
;;09663  WUERZBURG,STADT                  ;6.137;5.969;83;85;836;65.001;21.601;32.629;10.188;583;3.513;7.882;919;67;11.462;21.336;508;101;5.873;1.768;2.788;122;727;152;116;200;-;893;165;510;64;741;7.608;78.746;616;6.375
;;09671  ASCHAFFENBURG                    ;12.464;12.059;150;255;1.616;118.876;40.772;59.092;18.218;794;6.870;17.010;1.515;1;10.147;41.451;682;111;8.382;2.928;4.106;98;452;175;205;418;-;5.734;369;3.367;361;644;14.871;146.211;839;20.733
;;09672  BAD KISSINGEN                    ;8.255;7.887;73;295;1.113;71.189;22.893;37.143;10.736;417;2.769;9.487;1.312;47;5.518;24.010;690;121;4.699;1.386;2.588;53;251;70;100;248;3;8.752;304;5.739;500;532;14.104;93.548;906;16.400
;;09673  RHOEN-GRABFELD                   ;6.777;6.359;47;371;960;55.122;16.669;30.212;7.519;722;1.835;7.736;871;27;4.783;18.486;692;90;3.425;1.029;1.640;49;280;111;104;212;-;7.416;123;5.610;482;455;11.386;73.285;920;14.452
;;09674  HASSBERGE                        ;7.335;6.920;53;362;994;58.893;18.723;31.901;7.919;350;2.202;7.036;945;20;3.970;19.761;698;88;3.720;1.110;1.924;52;274;80;100;179;1;8.029;231;5.355;316;472;12.309;78.537;931;13.972
;;09675  KITZINGEN                        ;7.512;7.153;62;297;1.048;62.273;19.741;32.871;9.263;398;2.934;6.991;809;28;5.039;21.288;683;154;4.125;1.350;1.934;74;290;89;121;266;1;7.543;462;5.082;194;495;12.317;82.102;901;12.738
;;09676  MILTENBERG                       ;8.634;8.258;122;254;1.154;86.895;28.753;45.323;12.437;382;4.156;11.433;1.168;35;8.902;29.355;675;102;6.089;1.913;3.127;84;397;156;117;295;-;5.158;170;3.073;230;462;11.811;107.340;834;16.416
;;09677  MAIN-SPESSART                    ;10.799;10.308;126;365;1.415;86.049;27.727;45.029;12.834;459;3.621;12.665;1.255;35;5.915;28.531;682;180;5.687;1.726;2.828;89;421;118;210;292;3;9.253;257;5.897;368;567;15.687;112.535;892;18.645
;;09678  SCHWEINFURT                      ;9.908;9.467;104;337;1.434;79.033;25.410;41.141;11.954;528;3.602;9.019;1.560;11;3.129;27.700;685;113;4.164;1.289;2.028;49;263;92;119;324;-;7.517;713;4.469;289;529;12.323;101.264;877;18.008
;;09679  WUERZBURG                        ;13.144;12.733;120;291;1.818;107.102;36.631;54.350;15.215;906;5.565;12.447;1.737;4;7.547;37.388;660;42;6.171;2.028;2.963;80;349;117;185;448;1;8.348;332;5.475;240;568;15.129;135.375;834;18.403
;RB ZUSAMMEN;;96.616;92.614;1.011;2.991;13.097;862.495;282.694;445.829;127.898;6.074;40.520;110.648;12.998;367;78.643;292.306;655;1.245;57.942;18.389;28.628;820;4.055;1.308;1.567;3.164;11;69.518;3.405;44.968;3.123;5.959;134.664;1.093.775;830;163.560
;RB SCHWABEN                      ;09761  AUGSBURG,STADT                   ;12.567;12.219;189;159;1.641;139.358;48.883;68.094;21.556;825;6.176;16.896;2.138;73;19.684;44.620;470;312;8.607;3.004;4.325;99;454;198;219;301;7;1.317;221;785;118;760;10.996;162.921;549;11.928
;;09762  KAUFBEUREN,STADT                 ;2.582;2.505;41;36;372;25.482;10.104;11.632;3.584;162;948;3.447;541;3;2.583;8.591;574;58;1.276;429;646;26;43;28;41;60;3;395;23;258;25;82;1.811;29.875;673;3.386
;;09763  KEMPTEN (ALLGAEU),STADT           ;4.007;3.896;41;70;538;40.077;15.047;19.152;5.564;314;1.538;6.564;807;49;6.425;12.987;580;71;2.414;768;1.178;13;108;84;85;178;-;959;78;648;57;449;3.893;47.977;694;4.438
;;09764  MEMMINGEN,STADT                  ;2.364;2.296;27;41;318;27.081;9.615;13.297;4.000;169;1.196;3.434;356;15;4.273;8.594;614;14;1.779;453;961;14;123;32;63;133;-;798;116;502;38;164;2.755;32.200;730;3.749
;;09771  AICHACH-FRIEDBERG                ;13.208;12.720;174;314;1.793;88.078;29.223;43.761;14.535;559;4.796;12.031;1.593;20;6.974;29.595;654;161;6.735;2.086;3.262;105;568;183;205;321;5;8.938;317;5.927;299;594;16.428;117.714;874;19.594
;;09772  AUGSBURG                         ;21.198;20.474;309;415;2.909;168.234;58.993;81.448;26.764;1.029;9.317;22.308;3.065;45;14.295;58.969;664;262;11.375;3.243;5.695;87;602;384;621;742;1;12.264;725;7.752;437;877;24.778;214.210;845;33.416
;;09773  DILLINGEN A.D.DONAU              ;8.347;7.971;101;275;1.089;66.121;21.396;33.855;10.536;334;3.055;9.050;830;20;4.834;22.201;685;45;4.511;1.341;2.279;39;252;101;206;293;-;8.925;395;5.670;253;458;13.939;88.407;916;17.974
;;09774  GUENZBURG                        ;10.343;9.852;115;376;1.491;85.301;28.184;44.028;12.665;424;3.967;11.135;1.042;28;8.885;28.902;672;146;6.129;1.765;3.180;45;357;142;178;461;1;9.425;529;5.806;265;747;16.447;112.091;882;20.766
;;09775  NEU-ULM                          ;13.397;13.037;112;248;1.953;111.254;39.934;53.530;17.148;642;5.809;13.617;1.695;33;10.317;38.472;635;143;6.657;1.831;3.298;67;488;280;176;516;1;6.251;653;3.605;190;581;13.632;138.283;789;20.981
;;09776  LINDAU (BODENSEE)                ;8.501;8.283;88;130;1.201;52.921;19.220;25.129;8.198;374;2.641;10.433;1.213;10;5.383;18.341;646;52;3.140;1.107;1.548;34;132;50;95;171;3;4.880;88;3.471;102;284;8.356;69.778;851;9.139
;;09777  OSTALLGAEU                       ;13.339;12.640;229;470;1.863;93.138;33.900;45.087;13.499;652;3.662;17.301;2.111;27;7.957;30.418;660;33;5.953;1.921;3.139;56;251;80;140;359;7;15.978;434;11.152;386;595;22.559;129.036;914;23.227
;;09778  UNTERALLGAEU                     ;13.941;13.269;179;493;1.853;100.174;35.341;49.963;14.350;520;4.538;13.454;1.444;33;7.807;32.549;689;129;6.282;1.694;3.387;46;356;98;170;530;1;15.557;344;10.537;406;713;22.681;136.796;941;24.427
;;09779  DONAU-RIES                       ;11.735;11.196;151;388;1.470;92.797;29.446;48.786;14.010;555;3.736;12.266;1.225;24;8.148;29.114;694;114;5.971;1.779;2.995;63;338;146;199;446;5;13.902;552;8.984;376;772;20.759;125.291;937;23.840
;;09780  OBERALLGAEU                      ;15.188;14.632;175;381;2.087;102.701;38.941;49.166;13.876;718;4.033;24.879;2.543;9;9.615;34.828;658;209;6.800;2.215;3.506;80;311;126;162;398;2;12.311;252;8.946;435;707;20.027;137.916;884;21.380
;RB ZUSAMMEN;;150.717;144.990;1.931;3.796;20.578;1.192.717;418.227;586.928;180.285;7.277;55.412;176.815;20.603;389;117.180;398.181;628;1.749;77.629;23.636;39.399;774;4.383;1.932;2.560;4.909;36;111.900;4.727;74.043;3.387;7.783;199.061;1.542.495;812;238.245
BAYERN INSGESAMT;;;992.096;952.588;11.516;27.992;133.696;8.170.101;2.698.392;4.148.220;1.262.601;60.888;392.037;1.275.005;127.660;3.017;984.253;2.674.768;622;12.753;534.490;175.552;265.823;5.621;30.066;11.990;15.245;29.982;211;695.825;31.747;478.120;25.104;57.669;1.300.737;10.462.934;797;1.431.021
BERLIN                     ;;11000  BERLIN                           ;110.712;108.432;1.462;818;15.382;1.234.645;480.776;566.068;178.446;9.355;47.131;126.735;14.777;1.279;164.898;419.157;336;2.290;111.551;46.833;49.183;1.593;5.152;2.988;2.211;3.533;58;6.442;3.689;1.916;599;8.847;129.130;1.474.487;402;93.585
BERLIN INSGESAMT;;;110.712;108.432;1.462;818;15.382;1.234.645;480.776;566.068;178.446;9.355;47.131;126.735;14.777;1.279;164.898;419.157;336;2.290;111.551;46.833;49.183;1.593;5.152;2.988;2.211;3.533;58;6.442;3.689;1.916;599;8.847;129.130;1.474.487;402;93.585
BRANDENBURG;;12051  BRANDENBURG/HAVEL,STADT          ;2.423;2.362;8;53;276;34.783;14.079;16.595;3.947;162;744;3.197;373;12;3.193;12.456;482;38;3.013;1.371;1.251;91;89;34;55;121;1;436;176;233;91;258;3.745;40.951;567;6.773
;;12052  COTTBUS, STADT                   ;3.290;3.218;16;56;317;49.001;18.931;24.380;5.518;172;835;4.451;378;31;5.375;18.054;492;94;4.443;2.040;1.864;91;152;80;88;128;-;753;193;434;117;391;5.681;57.972;582;7.920
;;12053  FRANKFURT/ODER,STADT             ;2.020;1.973;12;35;206;28.439;11.715;13.639;2.999;86;520;2.782;186;21;2.976;10.281;492;36;3.390;1.150;1.886;72;74;29;99;79;1;420;88;277;46;247;4.093;34.552;598;3.952
;;12054  POTSDAM,STADT                    ;5.739;5.630;47;62;759;76.867;30.491;36.285;9.606;485;2.381;7.809;938;23;8.490;27.820;426;182;5.724;2.573;2.441;102;197;57;79;274;1;529;201;285;46;426;6.861;89.467;496;8.116
;;12060  BARNIM                           ;11.673;11.356;113;204;1.538;107.682;42.596;50.933;13.627;526;2.530;11.534;1.492;52;6.126;41.685;581;199;10.489;4.527;4.711;232;400;182;178;256;3;2.408;456;1.675;276;692;13.788;133.143;719;25.317
;;12061  DAHME-SPREEWALD                  ;10.605;10.323;75;207;1.472;105.550;40.218;51.117;13.737;478;2.697;11.364;1.201;42;9.080;40.590;618;190;11.194;4.550;5.012;304;529;238;235;326;-;4.343;809;2.972;339;906;16.633;132.788;777;28.054
;;12062  ELBE-ELSTER                      ;6.142;5.867;23;252;718;63.568;23.480;32.899;6.993;196;1.015;5.953;489;40;3.997;23.721;624;122;6.762;2.960;2.910;221;220;115;145;190;1;4.752;291;3.817;341;677;12.313;82.023;806;18.837
;;12063  HAVELLAND                        ;9.964;9.690;87;187;1.478;94.847;37.548;44.538;12.283;478;2.883;10.123;1.264;31;5.757;36.566;582;136;9.464;3.824;4.367;178;320;183;231;356;5;2.489;418;1.834;250;791;12.880;117.691;722;24.248
;;12064  MAERKISCH-ODERLAND               ;12.966;12.615;115;236;1.850;118.733;46.332;57.315;14.652;434;2.548;12.610;1.448;41;8.279;45.989;607;141;12.749;5.266;5.690;270;423;198;266;633;3;3.899;659;2.865;330;1.010;17.799;149.498;764;28.991
;;12065  OBERHAVEL                        ;13.855;13.491;133;231;2.003;124.842;49.356;58.681;16.172;633;3.699;12.848;1.638;50;7.465;48.540;586;142;12.156;5.233;5.150;276;476;235;267;517;2;3.091;654;2.071;292;860;16.249;154.946;728;29.173
;;12066  OBERSPREEWALD-LAUSITZ            ;5.958;5.775;28;155;627;65.703;24.494;34.272;6.818;119;958;6.048;469;37;5.228;24.673;601;35;6.201;2.678;2.651;163;201;110;179;216;3;2.989;389;2.074;273;659;9.884;81.545;746;17.620
;;12067  ODER-SPREE                       ;9.959;9.697;53;209;1.310;108.044;42.228;52.192;13.244;380;2.307;11.884;1.284;51;7.031;42.560;604;135;11.038;4.650;5.079;240;344;152;203;368;2;3.848;583;2.778;295;903;15.924;133.927;749;26.619
;;12068  OSTPRIGNITZ-RUPPIN               ;5.690;5.473;21;196;755;58.893;22.337;29.527;6.854;175;1.045;6.246;720;34;5.170;22.526;596;139;6.988;3.102;3.026;161;190;101;187;221;-;3.490;283;2.806;246;733;11.350;75.933;768;21.243
;;12069  POTSDAM-MITTELMARK               ;13.168;12.741;109;318;1.744;130.045;49.811;62.055;17.423;756;4.604;14.654;1.712;54;8.982;50.582;600;270;13.339;5.598;6.082;282;529;254;233;358;3;4.900;551;3.749;477;1.217;19.726;162.939;752;30.268
;;12070  PRIGNITZ                         ;3.737;3.556;15;166;450;45.955;16.272;23.853;5.709;121;804;5.244;534;26;4.424;17.000;603;98;5.603;2.608;2.465;83;168;64;77;134;4;3.704;280;3.050;233;620;10.025;59.717;784;15.807
;;12071  SPREE-NEISSE                     ;6.869;6.640;34;195;770;70.989;26.628;35.822;8.345;194;1.266;7.435;557;43;4.254;27.407;624;93;7.607;3.257;3.171;252;311;155;173;284;4;3.656;473;2.634;336;759;12.115;89.973;791;20.686
;;12072  TELTOW-FLAEMING                  ;11.487;11.169;99;219;1.635;104.826;41.255;50.035;13.074;462;2.993;10.855;1.133;55;9.264;39.834;617;178;11.872;4.822;5.270;270;415;335;270;488;2;3.704;913;2.382;275;1.606;17.360;133.673;786;24.362
;;12073  UCKERMARK                        ;6.660;6.405;26;229;884;68.347;25.917;34.620;7.614;196;1.012;7.635;579;41;4.485;24.855;575;170;6.856;3.157;2.861;137;176;117;147;258;3;4.198;491;3.357;363;859;12.083;87.090;732;20.349
BRANDENBURG INSGESAMT;;;142.205;137.981;1.014;3.210;18.792;1.457.114;563.688;708.758;178.615;6.053;34.841;152.672;16.395;684;109.576;555.139;578;2.398;148.888;63.366;65.887;3.425;5.214;2.639;3.112;5.207;38;53.609;7.908;39.293;4.626;13.614;218.509;1.817.828;721;358.335
BREMEN                    ;;04011  BREMEN, STADT                    ;17.356;16.998;156;202;2.200;246.042;91.139;116.837;36.731;1.335;10.179;24.269;3.852;89;33.564;80.945;434;367;15.516;6.366;6.741;261;710;425;456;555;2;3.007;1.724;922;143;1.795;20.685;284.083;501;29.587
;;04012  BREMERHAVEN,STADT                ;3.199;3.107;38;54;377;51.793;20.981;23.592;7.004;216;1.786;4.254;601;42;5.797;17.329;456;100;3.625;1.313;1.767;38;275;55;53;124;-;539;321;174;52;298;4.562;59.554;524;6.184
BREMEN INSGESAMT;;;20.555;20.105;194;256;2.577;297.835;112.120;140.429;43.735;1.551;11.965;28.523;4.453;131;39.361;98.274;437;467;19.141;7.679;8.508;299;985;480;509;679;2;3.546;2.045;1.096;195;2.093;25.247;343.637;504;35.771
HAMBURG                          ;;02000  HAMBURG                          ;55.999;54.918;507;574;7.565;805.780;288.753;380.428;129.410;7.189;45.060;95.051;15.653;644;155.531;254.883;436;2.212;66.809;26.941;31.826;754;3.314;1.156;1.019;1.791;8;7.873;3.641;3.479;434;5.244;82.138;943.917;511;74.096
HAMBURG INSGESAMT;;;55.999;54.918;507;574;7.565;805.780;288.753;380.428;129.410;7.189;45.060;95.051;15.653;644;155.531;254.883;436;2.212;66.809;26.941;31.826;754;3.314;1.156;1.019;1.791;8;7.873;3.641;3.479;434;5.244;82.138;943.917;511;74.096
HESSEN;RB DARMSTADT                     ;06411  DARMSTADT,STADT                  ;5.601;5.479;70;52;689;73.160;25.248;36.530;10.665;717;3.691;8.174;896;42;12.423;23.998;458;104;4.164;1.662;1.983;35;240;74;82;88;-;658;127;374;27;343;5.269;84.030;526;4.598
;;06412  FRANKFURT AM MAIN,STADT          ;22.625;22.055;357;213;2.952;342.431;104.370;179.465;56.229;2.367;16.783;53.906;2.132;262;94.835;94.173;449;696;24.331;10.216;11.777;355;930;328;314;407;4;1.913;509;984;138;2.070;29.010;394.066;516;15.937
;;06413  OFFENBACH AM MAIN,STADT          ;3.940;3.819;85;36;507;57.906;19.382;29.122;8.954;448;2.472;6.257;370;37;9.288;18.000;444;97;3.865;1.449;1.918;35;154;59;53;195;2;432;312;85;20;202;4.596;66.442;510;3.329
;;06414  WIESBADEN,STADT                  ;11.299;11.005;146;148;1.492;173.522;69.760;78.025;23.439;2.298;8.998;20.708;1.104;127;51.163;48.927;623;422;10.981;4.345;5.070;150;476;153;297;487;3;1.876;324;984;96;2.847;16.126;200.947;722;11.275
;;06431  BERGSTRASSE                      ;18.151;17.606;214;331;2.431;175.663;62.440;84.787;27.287;1.149;10.655;23.210;2.327;74;14.085;63.898;650;227;11.286;4.069;5.444;134;756;265;196;421;1;6.279;474;4.157;307;1.048;18.840;212.654;787;23.238
;;06432  DARMSTADT-DIEBURG                ;19.539;19.012;237;290;2.803;190.415;69.657;91.301;28.194;1.263;10.613;21.926;2.751;58;15.517;69.869;639;129;11.350;3.807;5.324;142;860;319;352;545;1;6.144;1.250;3.488;288;811;18.434;228.388;767;24.337
;;06433  GROSS-GERAU                      ;14.832;14.430;212;190;1.965;157.187;57.524;75.358;23.162;1.143;7.677;16.243;1.534;39;17.144;52.897;570;178;10.269;3.030;5.264;135;710;231;477;416;6;3.019;693;1.676;124;843;14.309;186.328;676;16.317
