;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anh‰nger"
;;08216  RASTATT                          ;16.931;16.453;231;247;2.263;152.711;53.686;73.583;24.322;1.120;8.196;19.206;2.158;46;12.612;52.198;660;107;8.445;3.124;3.964;112;522;105;234;382;2;7.244;746;3.801;240;644;16.440;186.082;804;28.966
;;08221  HEIDELBERG,STADT                 ;4.893;4.782;53;58;617;61.550;19.911;30.561;10.590;488;4.183;8.003;927;52;10.889;21.381;381;71;3.613;1.556;1.641;41;215;57;47;55;1;703;61;470;26;373;4.760;71.203;441;4.346
;;08222  MANNHEIM,STADT                   ;11.951;11.531;256;164;1.526;154.578;51.196;77.899;24.491;992;7.882;17.417;1.425;120;28.769;48.756;498;171;12.198;4.409;5.778;127;865;252;308;456;3;1.313;610;473;68;1.151;14.833;181.362;584;12.381
;;08225  NECKAR-ODENWALD-KREIS            ;10.143;9.637;76;430;1.281;95.787;33.070;48.930;13.235;552;4.330;13.494;1.159;41;7.997;32.024;667;66;5.435;1.677;2.715;72;347;125;157;339;3;8.522;256;6.004;319;557;14.580;120.510;839;21.552
;;08226  RHEIN-NECKAR-KREIS               ;32.823;31.902;405;516;4.503;355.968;123.019;177.042;53.249;2.658;21.356;42.629;4.493;39;46.376;126.618;649;131;19.062;7.165;9.010;195;1.157;358;414;751;12;10.248;952;6.207;390;1.536;30.977;419.768;766;41.610
;;08231  PFORZHEIM,STADT                  ;4.602;4.465;62;75;591;63.168;21.785;30.583;10.353;447;3.208;8.038;596;51;8.318;19.989;502;51;3.364;1.205;1.657;37;194;71;53;147;-;585;61;367;47;314;4.314;72.084;572;5.803
;;08235  CALW                             ;11.514;11.169;116;229;1.645;107.024;36.975;52.241;16.762;1.046;5.300;14.702;1.632;38;10.625;35.127;672;229;6.760;1.874;3.126;81;840;219;235;383;2;7.266;460;4.013;236;646;14.901;133.439;838;21.269
;;08236  ENZKREIS                         ;15.724;15.323;152;249;2.229;134.056;47.658;63.718;21.668;1.012;7.922;17.425;2.119;1;11.832;47.423;672;128;7.120;2.533;3.373;78;446;117;185;387;1;6.497;662;3.540;191;445;14.190;163.970;822;25.658
;;08237  FREUDENSTADT                     ;8.920;8.615;98;207;1.059;78.309;26.108;40.059;11.661;481;3.675;14.179;1.116;29;7.561;25.011;662;163;4.523;1.352;2.222;56;328;110;141;313;1;6.739;251;3.982;208;487;11.912;99.141;838;16.215
;RB ZUSAMMEN;;162.413;157.544;2.096;2.773;21.839;1.664.734;571.299;821.311;259.416;12.708;91.350;210.593;22.012;570;202.770;567.038;592;1.821;99.234;35.271;47.072;1.174;6.661;2.083;2.499;4.436;38;63.252;5.738;36.397;2.172;8.747;173.054;2.000.201;712;245.149
;RB FREIBURG                      ;08311  FREIBURG I.BREISG.STADT          ;8.708;8.513;120;75;1.193;94.910;31.228;47.397;15.361;924;4.773;11.015;2.733;99;16.531;31.591;411;336;6.842;2.574;3.216;107;396;121;205;222;1;1.403;88;959;42;506;9.087;112.705;487;8.153
;;08315  BREISGAU-HOCHSCHWARZWALD         ;17.211;16.686;221;304;2.280;161.256;56.254;79.006;24.622;1.374;8.772;22.917;3.537;34;14.492;56.516;612;161;11.034;3.964;5.355;120;522;172;315;582;4;13.779;607;9.543;286;1.279;26.253;204.720;777;28.783
;;08316  EMMENDINGEN                      ;11.598;11.241;159;198;1.566;103.318;36.699;50.869;14.499;1.251;5.211;12.325;1.959;27;8.751;36.689;621;91;6.733;2.394;3.281;57;389;151;183;276;2;8.598;337;5.746;185;635;16.057;130.973;787;18.608
;;08317  ORTENAUKREIS                     ;30.001;29.093;364;544;3.942;276.275;98.622;137.249;38.445;1.959;13.209;35.586;4.080;79;26.963;95.741;641;440;18.792;6.245;8.884;215;1.158;339;598;1.349;4;21.236;1.702;14.068;504;1.543;42.011;348.287;808;55.040
;;08325  ROTTWEIL                         ;10.968;10.605;113;250;1.387;95.148;33.227;47.431;13.989;501;4.805;15.931;1.573;34;9.824;31.487;680;54;5.539;1.615;2.855;74;321;130;164;378;2;8.713;425;5.258;324;622;14.928;121.044;865;20.491
;;08326  SCHWARZWALD-BAAR-KREIS           ;14.120;13.761;123;236;1.857;133.544;48.965;64.342;19.372;865;6.409;23.960;2.114;55;13.973;45.445;628;164;8.143;2.717;4.021;121;434;168;262;415;5;7.799;358;5.061;310;660;16.766;164.430;774;21.334
;;08327  TUTTLINGEN                       ;10.136;9.805;114;217;1.222;90.102;30.583;44.914;14.051;554;4.541;15.924;1.428;29;10.295;28.343;640;90;4.819;1.479;2.372;60;292;142;138;335;1;6.721;316;3.820;279;424;12.054;112.292;798;17.731
;;08335  KONSTANZ                         ;20.829;20.276;230;323;3.073;163.183;58.148;77.307;26.396;1.332;9.949;21.909;3.435;69;14.497;58.892;570;165;9.316;3.577;4.291;128;503;174;245;394;4;7.946;325;5.231;256;817;18.244;202.256;706;26.317
;;08336  LOERRACH                         ;15.798;15.286;259;253;2.088;138.173;47.655;67.894;21.470;1.154;7.466;21.385;2.435;42;10.282;49.379;604;62;8.108;2.948;4.095;117;410;87;163;287;1;8.052;137;5.355;183;686;16.908;170.879;747;20.056
;;08337  WALDSHUT                         ;12.111;11.718;155;238;1.519;108.890;38.237;53.748;16.049;856;5.326;19.506;1.706;50;8.219;37.077;637;119;6.841;2.127;3.475;68;396;102;177;492;4;10.302;400;6.929;248;680;17.942;138.943;813;20.795
