"Land

";Regierungsbezirk;"Statistische Kennziffer und Zulassungsbezirk
";Insgesamt;Nach Kraftstoffarten;;;;;;;Nach Emissionsgruppen;;;;;;;;;;Darunter dieselangetriebene Pkw nach Emissionsgruppen;;;;;;;;;
;;;;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoff-
reduzierte 
insgesamt";Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoffred.
mit Diesel-
antrieb insgesamt"
;;08237  FREUDENSTADT;78309;46737;29184;471;1435;355;472;10;676;3380;4407;17716;20678;29846;1661;8532;702;77405;76;773;2152;4416;10228;11333;509;2612;76;29054
;RB ZUSAMMEN;;1664734;1081829;523234;10749;36137;11998;12474;311;19669;91673;108103;389191;396765;616646;34249;184150;17396;1639443;1828;15536;42429;79680;165442;213557;9570;56357;1806;520278
;RB FREIBURG                 ;08311  FREIBURG I.BREISG.STADT;94910;58177;32925;764;2102;697;912;30;1581;6832;7542;23027;21411;31493;1709;9554;1309;93195;220;1550;3183;5145;9442;12843;638;3742;218;32601
;;08315  BREISGAU-HOCHSCHWARZWALD;161256;102641;53511;976;2741;719;1341;46;2254;10180;11927;40734;41290;50119;1755;13019;2044;158548;285;2166;5055;9066;18583;17672;502;3890;344;53171
;;08316  EMMENDINGEN;103318;67477;32298;652;1641;444;1235;15;1375;6882;7928;27748;26215;29941;991;7854;1673;101762;164;1302;3300;5880;11137;10120;228;2270;195;32098
;;08317  ORTENAUKREIS;276275;177042;91870;1432;3959;1247;1930;42;3613;17332;21043;72342;69341;85940;3140;23267;2934;272545;441;3444;8881;16162;30679;31320;962;7263;362;91289
;;08325  ROTTWEIL;95148;58503;34040;521;1584;482;485;15;890;3984;5297;21764;25347;35719;1338;10135;845;93846;118;807;2531;5205;11909;13138;394;3053;137;33845
;;08326  SCHWARZWALD-BAAR-KREIS;133544;84995;44093;754;2834;787;833;35;1174;5270;7211;29501;35635;51595;2022;14951;1295;131681;156;1083;3369;6251;15615;17229;494;4130;169;43872
;;08327  TUTTLINGEN;90102;55419;31779;445;1897;605;543;19;820;3254;4672;19041;23572;36813;1562;10877;874;89046;131;726;2195;4397;10932;13177;499;3151;114;31672
;;08335  KONSTANZ;163183;110060;47172;1260;3350;855;1310;31;1913;8541;10825;40315;40907;56045;2141;15516;2102;160648;285;1796;4332;6800;15905;17439;506;4159;307;46864
;;08336  LOERRACH;138173;92944;40735;463;2869;657;1129;33;1702;7592;9536;33909;35584;46091;1716;12319;1528;135942;225;1585;3718;6202;14093;14428;449;3088;148;40399
;;08337  WALDSHUT;108890;71100;34780;398;1750;509;833;29;1128;5042;7086;25915;29517;37602;1285;9855;1303;107593;133;1047;2792;5006;12463;13049;403;2825;151;34641
;RB ZUSAMMEN;;1364799;878358;443203;7665;24727;7002;10551;295;16450;74909;93067;334296;348819;461358;17659;127347;15907;1344806;2158;15506;39356;70114;150758;160415;5075;37571;2145;440452
;RB TUEBINGEN                ;08415  REUTLINGEN;182010;119370;56609;1357;3436;1285;1209;29;1691;8472;10081;41508;46481;69223;3272;20358;1648;179104;143;1534;4328;7970;18874;23227;935;5842;165;56241
;;08416  TUEBINGEN;128003;81464;41741;1276;2540;847;954;28;1250;6443;7550;30057;32246;47198;2672;13890;1319;126063;135;1357;3357;6086;13361;16983;864;4760;159;41438
;;08417  ZOLLERNALBKREIS;129579;83901;41797;859;2296;670;708;18;1099;5539;7105;28444;33435;50975;2080;15037;1038;127635;104;1062;3074;6065;14409;16734;509;4105;129;41577
;;08421  ULM,STADT;67203;40429;24054;480;1671;586;554;15;565;2532;3257;14481;16004;28680;1768;9323;687;66206;41;465;1377;3121;7042;11856;604;3802;52;23954
;;08425  ALB-DONAU-KREIS;130410;80583;46437;801;1791;551;777;21;1183;5494;7151;31465;35252;46735;1838;12350;1140;128420;118;1127;3435;7828;16408;17178;546;3640;120;46214
;;08426  BIBERACH;133547;79546;50666;726;1686;430;907;16;1149;5678;7790;32596;37169;45906;1429;11717;1390;131678;151;1246;4009;8451;18249;18191;443;3908;157;50454
;;08435  BODENSEEKREIS;140217;89813;45155;838;3308;1087;1074;29;1646;7539;9060;32653;34705;50053;3061;14289;1746;137402;267;1889;4287;6859;14994;16284;760;3829;230;44810
;;08436  RAVENSBURG;183418;111072;67138;1067;2703;916;1402;36;1825;8964;11713;44639;48303;62723;2424;17197;2347;180514;345;2500;6048;10897;23127;23457;690;5318;364;66738
;;08437  SIGMARINGEN;87970;52844;32348;642;1682;314;442;12;783;3958;5257;21113;23922;31013;1577;8062;775;86821;116;954;2589;5348;11658;11410;428;2489;130;32205
;RB ZUSAMMEN;;1182357;739022;405945;8046;21113;6686;8027;204;11191;54619;68964;276956;307517;432506;20121;122223;12090;1163843;1420;12134;32504;62625;138122;155320;5779;37693;1506;403631
BADEN-WUERTTEMBERG INSGESAMT;;;6802786;4394018;2154675;43691;154882;51870;54250;1270;73823;351530;416423;1573455;1644575;2560914;147967;773695;76350;6697070;7490;64370;172013;314769;687115;888163;42827;236975;7933;2141853
BAYERN;RB OBERBAYERN               ;09161  INGOLSTADT,STADT;97429;56102;29436;596;9239;2921;2047;9;1051;3988;4046;16723;17335;48452;3500;25843;3969;95564;130;889;2024;3788;7863;14053;475;6194;561;29308
;;09162  MUENCHEN,STADT;732045;431465;247477;3602;41112;10658;8271;118;8451;29096;35336;128084;141876;363673;41823;149168;10712;717228;746;5330;14176;26160;61493;137462;11874;55256;825;246192
;;09163  ROSENHEIM,STADT;35450;21855;12478;204;657;177;250;6;328;1501;2085;8104;8971;13582;559;4046;337;34908;53;391;1083;1751;4050;5045;171;1248;39;12412
;;09171  ALTOETTING;72118;44760;25310;368;1231;276;439;10;598;2919;4109;16850;19680;26279;872;7414;657;71092;107;713;1993;3728;9102;9453;208;2214;79;25175
;;09172  BERCHTESGADENER LAND;66163;41814;22529;275;1098;257;438;9;667;2498;3315;14032;17663;26137;944;7558;703;65015;125;699;1754;2996;7770;8968;253;2097;101;22413
;;09173  BAD TOELZ-WOLFRATSHAUSEN;81556;48493;30375;447;1661;465;562;18;789;3323;4534;17037;21975;31506;1274;9144;940;80104;157;1032;2489;4148;10722;11514;366;2824;148;30210
;;09174  DACHAU;94258;59460;31642;608;1866;472;666;16;931;3982;5390;21296;23892;36212;1961;10378;1001;92704;131;870;2435;4452;10871;12612;550;3053;120;31491
;;09175  EBERSBERG;86445;53254;29917;450;2017;684;794;13;770;3439;4432;17739;22499;34886;1382;10060;1140;84905;110;735;2071;4030;10250;12447;336;3004;123;29766
;;09176  EICHSTAETT;85829;51727;31730;566;1323;267;474;9;912;4569;4778;19739;22756;30745;660;8542;722;84221;128;1112;2764;4907;11289;11286;190;2400;97;31583
;;09177  ERDING;90313;53679;33496;464;2072;418;587;15;807;3540;5012;20365;24581;33927;1666;9025;822;89054;99;865;2515;5033;12175;12556;452;2656;91;33334
;;09178  FREISING;110323;64003;42234;753;2209;572;1108;16;1155;4784;6504;24942;28880;40761;1630;11084;1582;108608;180;1155;3259;6536;14438;16285;458;3646;192;42045
;;09179  FUERSTENFELDBRUCK;124513;81187;39128;745;2519;702;912;22;1341;5540;7179;28114;31624;47307;1783;13803;1352;122457;197;1210;3147;5622;13335;15206;417;3859;181;38898
;;09180  GARMISCH-PARTENKIRCHEN;52791;33230;18063;292;870;227;322;14;613;2319;3116;11256;14295;19792;742;5598;559;51950;138;772;1578;2248;6408;6727;234;1595;96;17967
;;09181  LANDSBERG AM LECH;82970;48956;30708;624;1706;444;959;17;916;3573;4757;18226;21272;31206;1564;9516;1362;81312;146;931;2375;4199;9998;12685;624;3768;166;30500
;;09182  MIESBACH;66809;40045;24422;266;1585;476;478;13;722;2561;3276;12400;17367;28226;1137;8751;794;65346;98;711;1669;2899;8370;10415;334;2860;116;24278
;;09183  MUEHLDORF A.INN;75643;45878;27500;375;1403;287;478;9;672;3402;4604;18440;20390;26436;1109;7101;755;74699;107;872;2300;4397;9764;9845;322;2107;102;27387
;;09184  MUENCHEN;240563;139835;86192;1007;10560;3917;2934;35;2206;7785;10372;38734;50714;118045;6734;43505;8239;236095;222;1553;4675;7871;21888;48629;2243;16969;1051;85889
;;09185  NEUBURG-SCHROBENHAUSEN;66293;39670;24721;427;1100;255;369;6;672;3544;4323;16406;17266;22346;761;5875;620;65177;76;818;2182;4148;8606;8668;220;1781;78;24576
;;09186  PFAFFENHOFEN A.D.ILM;85058;49246;33107;661;1379;314;655;10;868;4144;5306;19450;22131;30891;1120;8741;973;83763;116;1013;2701;5240;11363;12433;325;2761;106;32972
;;09187  ROSENHEIM;173318;106249;61884;912;2864;802;1384;25;1788;7542;9743;38896;45991;64143;2307;18730;2227;170330;289;2019;5131;9015;21290;23522;670;5721;293;61559
;;09188  STARNBERG;88503;54721;29955;436;2310;824;1071;10;1186;3655;4560;16071;21664;37421;1556;11712;1463;86020;142;863;2089;3429;9854;13262;391;3759;149;29788
;;09189  TRAUNSTEIN;117902;72389;42170;615;1831;504;881;16;1214;5002;6473;26769;32179;42826;1493;12182;1275;115738;257;1385;3421;6196;14995;15476;364;3577;159;41889
;;09190  WEILHEIM-SCHONGAU;89347;55104;31652;587;1343;418;653;8;1030;4423;5693;20754;23990;30693;1022;8213;1000;87583;185;1272;2892;4724;11165;10987;255;2408;147;31372
;RB ZUSAMMEN;;2815639;1693122;986126;15280;93955;26337;26732;424;29687;117129;148943;570427;668991;1185492;77599;405989;43204;2763873;3939;27210;70723;127517;307059;439536;21732;135757;5020;981004
;RB NIEDERBAYERN             ;09261  LANDSHUT,STADT;37995;23052;13517;222;955;257;242;7;343;1495;2118;8636;9734;14750;801;4330;351;37427;60;309;913;1971;4706;5449;154;1244;40;13448
;;09262  PASSAU,STADT;28886;17830;9890;115;847;216;195;9;267;1148;1518;5922;6969;12420;578;4017;275;28519;43;218;666;1161;3077;4635;151;1370;41;9841
;;09263  STRAUBING,STADT;27804;17459;9440;157;601;207;143;4;230;1063;1532;6660;6996;10759;521;3283;214;27454;19;198;662;1406;3246;3854;104;1003;22;9407
;;09271  DEGGENDORF;79297;46477;30762;495;1137;301;417;9;601;3124;4241;18304;22069;29574;994;7988;622;78535;63;671;2017;4322;11177;12362;336;2662;61;30673
;;09272  FREYUNG-GRAFENAU;53384;31372;20881;207;725;165;194;5;454;2386;2806;11824;14517;20518;589;5861;337;52842;41;496;1521;3040;7455;8210;156;1820;48;20811
;;09273  KELHEIM;81705;46709;32725;633;1140;291;483;15;655;3378;4574;18886;22262;29983;960;7768;891;80629;87;732;2375;5157;11819;12306;253;2444;127;32603
;;09274  LANDSHUT;110107;61961;44550;718;2089;564;742;47;948;4895;6704;26226;29574;39190;1798;10558;1181;108718;156;1264;3354;7001;15958;16488;534;3638;137;44358
;;09275  PASSAU;129826;81615;44975;478;1987;463;741;30;1107;5958;7273;30997;34676;47256;1506;13059;1130;128397;147;1190;3532;6774;16287;16755;373;3499;109;44794
;;09276  REGEN;50535;29971;19303;228;756;144;272;5;396;1964;2414;10635;14183;20074;527;5612;434;50100;61;451;1312;2575;7000;7794;109;1658;56;19249
