;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraftomni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahrzeug-
anh‰nger"
;;08127 SCHWAEBISCH-HALL;15.814;15.324;142;348;2.079;134.607;40.528;69.395;21.765;2.919;6.689;19.531;2.234;46;13.011;44.048;675;467;9.226;2.705;4.717;143;530;204;275;647;5;16.129;627;11.576;3.926;777;26.599;177.020;888;30.205
;;08128 MAIN-TAUBER-KREIS;10.831;10.390;103;338;1.466;91.749;28.533;48.710;12.925;1.581;4.022;11.969;1.307;35;8.276;30.194;690;101;5.754;2.189;2.616;68;321;72;194;293;1;12.332;200;9.263;2.869;533;18.720;121.300;912;18.835
;;08135 HEIDENHEIM;9.691;9.453;86;152;1.354;86.649;29.313;42.326;13.575;1.435;3.993;13.071;1.674;29;7.542;29.460;652;89;4.645;1.419;2.357;56;236;105;119;349;4;5.127;409;3.504;1.214;489;10.350;106.690;802;16.280
;;08136 OSTALBKREIS;24.813;24.151;266;396;3.556;210.202;71.921;102.202;32.050;4.029;10.161;33.707;3.986;90;21.650;69.991;667;307;12.481;3.713;6.464;130;742;256;334;838;4;16.738;963;11.974;3.801;1.071;30.597;265.612;843;40.265
;RB ZUSAMMEN;;281.228;273.946;3.527;3.755;39.244;2.609.043;876.367;1.253.282;411.502;67.892;141.508;392.729;42.745;963;360.140;845.646;629;3.246;155.650;50.736;78.257;2.143;8.773;3.605;4.309;7.763;64;133.962;9.831;92.419;31.712;12.625;305.483;3.195.754;770;377.735
;RB KARLSRUHE;08211 BADEN-BADEN,STADT;3.413;3.334;53;26;467;36.044;11.239;16.973;6.857;975;2.565;6.352;504;17;6.512;12.104;649;65;2.642;1.065;1.215;23;95;63;93;86;2;1.010;167;523;320;211;3.928;43.385;781;4.296
;;08212 KARLSRUHE,STADT;12.994;12.669;219;106;1.734;141.504;47.821;68.281;21.379;4.023;7.128;17.825;2.769;53;27.843;45.166;462;488;9.979;3.764;4.791;98;475;160;231;457;3;1.528;483;810;235;1.131;13.126;167.624;547;14.119
;;08215 KARLSRUHE;30.436;29.568;469;399;4.271;286.622;99.408;137.370;43.242;6.602;15.385;36.658;4.906;95;27.663;102.336;639;174;18.147;6.140;8.975;200;1.201;451;454;718;8;12.305;1.565;7.086;3.654;1.395;32.021;349.079;778;52.140
;;08216 RASTATT;17.706;17.216;274;216;2.430;153.608;53.805;72.126;24.049;3.628;8.102;20.964;2.654;56;13.309;52.852;661;90;8.797;3.203;4.319;101;488;100;220;364;2;7.300;712;4.143;2.445;649;16.836;188.150;810;29.680
;;08221 HEIDELBERG,STADT;5.037;4.912;68;57;641;61.102;19.648;30.052;9.956;1.446;4.067;8.579;1.199;56;11.051;21.225;384;86;3.745;1.599;1.748;48;188;51;48;63;-;709;60;551;98;420;4.960;71.099;446;4.533
;;08222 MANNHEIM,STADT;12.687;12.237;268;182;1.568;156.176;52.185;77.197;23.660;3.134;7.739;19.385;1.782;121;29.645;49.199;501;145;13.172;4.578;6.594;124;855;237;330;451;3;1.423;684;613;126;1.227;15.967;184.830;593;12.979
;;08225 NECKAR-ODENWALD-KREIS;10.754;10.279;103;372;1.386;97.042;33.382;48.611;13.216;1.833;4.366;14.698;1.508;45;8.456;32.757;674;97;5.882;1.844;2.997;66;332;121;159;359;4;8.774;247;6.594;1.933;582;15.335;123.131;855;22.825
;;08226 RHEIN-NECKAR-KREIS;34.539;33.657;437;445;4.897;358.462;124.001;173.507;51.791;9.163;21.070;46.962;5.482;51;48.756;127.429;653;187;20.372;7.379;10.118;177;1.189;354;415;732;8;10.348;904;6.928;2.516;1.602;32.509;425.510;775;43.252
;;08231 PFORZHEIM,STADT;4.935;4.757;97;81;666;63.725;22.149;30.073;10.127;1.376;3.207;8.805;701;54;8.539;20.169;508;83;3.637;1.249;1.876;41;192;79;59;141;-;629;81;441;107;312;4.661;73.321;584;6.036
;;08235 CALW;12.216;11.879;129;208;1.802;109.045;37.031;51.960;16.673;3.381;5.330;15.901;2.034;45;11.722;35.918;679;177;7.481;2.072;3.588;81;830;258;250;399;3;7.463;496;4.505;2.462;670;15.791;137.052;853;22.383
;;08236 ENZKREIS;16.436;16.025;188;223;2.350;136.264;48.467;62.913;21.556;3.328;7.910;18.701;2.547;3;13.011;47.992;681;135;7.737;2.727;3.798;68;458;98;174;414;-;6.640;653;3.964;2.023;481;14.993;167.693;837;26.929
;;08237 FREUDENSTADT;9.410;9.121;98;191;1.189;79.815;26.724;39.991;11.570;1.530;3.761;15.235;1.400;36;8.027;25.587;670;186;4.862;1.391;2.490;57;337;103;139;343;2;7.007;259;4.499;2.249;492;12.547;101.772;854;17.033
;RB ZUSAMMEN;;170.563;165.654;2.403;2.506;23.401;1.679.409;575.860;809.054;254.076;40.419;90.630;230.065;27.486;632;214.534;572.734;597;1.913;106.453;37.011;52.509;1.084;6.640;2.075;2.572;4.527;35;65.136;6.311;40.657;18.168;9.172;182.674;2.032.646;723;256.205
;RB FREIBURG;08311 FREIBURG I.BREISG.STADT;9.028;8.826;130;72;1.274;95.149;31.345;46.449;14.878;2.477;4.696;11.822;3.295;98;17.055;31.706;410;369;6.952;2.643;3.406;98;358;96;183;167;1;1.471;105;1.115;251;514;9.306;113.483;489;8.245
;;08315 BREISGAU-HOCHSCHWARZWALD;17.907;17.367;261;279;2.416;162.886;56.473;77.911;24.388;4.114;8.706;24.721;4.345;35;15.272;57.131;613;180;12.029;4.313;6.045;112;507;171;313;565;3;13.894;578;10.316;3.000;1.361;27.464;208.257;784;30.054
;;08316 EMMENDINGEN;12.180;11.839;164;177;1.602;104.546;37.167;50.538;14.462;2.379;5.171;13.567;2.441;35;9.124;37.334;623;108;7.305;2.502;3.682;56;373;173;199;318;2;8.747;372;6.148;2.227;676;16.836;133.562;795;19.620
;;08317 ORTENAUKREIS;31.176;30.246;423;507;4.181;280.455;100.011;135.852;38.369;6.223;13.095;38.566;5.101;92;28.970;97.455;645;560;19.930;6.476;9.772;213;1.154;330;603;1.375;7;21.767;1.889;15.100;4.778;1.659;43.916;355.547;818;57.873
;;08325 ROTTWEIL;11.534;11.183;133;218;1.509;96.677;33.691;47.035;14.000;1.951;4.846;17.193;1.959;36;10.411;32.146;688;86;6.036;1.724;3.217;63;327;119;177;407;2;8.995;437;5.926;2.632;653;15.770;123.981;883;21.517
;;08326 SCHWARZWALD-BAAR-KREIS;14.663;14.337;137;189;1.980;134.908;49.056;63.839;19.337;2.676;6.427;25.814;2.560;64;14.474;46.063;632;193;8.529;2.724;4.398;128;420;176;250;429;4;8.091;377;5.744;1.970;692;17.505;167.076;783;22.341
;;08327 TUTTLINGEN;10.522;10.196;137;189;1.319;92.082;31.171;44.765;14.119;2.027;4.534;17.574;1.770;34;11.165;28.888;647;109;5.297;1.622;2.718;55;269;137;150;343;3;6.959;326;4.349;2.284;427;12.792;115.396;810;18.524
;;08335 KONSTANZ;21.702;21.096;286;320;3.298;165.023;58.467;76.262;26.091;4.203;9.787;23.964;4.193;71;15.975;59.445;573;192;9.966;3.767;4.743;121;486;177;267;401;4;8.245;351;5.828;2.066;863;19.266;205.991;715;27.769
;;08336 LOERRACH;16.304;15.791;296;217;2.201;139.232;47.843;66.806;21.219;3.364;7.327;23.096;3.015;46;10.645;49.954;607;76;8.608;3.083;4.452;121;408;90;161;292;1;8.283;158;5.934;2.191;692;17.659;173.195;755;20.897
;;08337 WALDSHUT;12.601;12.220;163;218;1.589;110.500;38.496;53.449;15.904;2.651;5.366;21.165;2.137;51;9.009;37.688;645;140;7.363;2.251;3.905;62;388;105;163;484;5;10.625;410;7.613;2.602;734;18.862;141.963;829;22.130
;RB ZUSAMMEN;;157.617;153.101;2.130;2.386;21.369;1.381.458;483.720;662.906;202.767;32.065;69.955;217.482;30.816;562;142.100;477.810;605;2.013;92.015;31.105;46.338;1.029;4.690;1.574;2.466;4.781;32;97.077;5.003;68.073;24.001;8.271;199.376;1.738.451;761;248.970
;RB TUEBINGEN;08415 REUTLINGEN;20.663;20.184;228;251;3.005;183.480;66.058;86.206;27.395;3.821;9.170;28.088;3.716;82;19.940;63.999;637;242;11.322;3.513;5.888;139;637;291;308;540;6;12.686;526;8.599;3.561;889;25.139;229.282;796;35.469
;;08416 TUEBINGEN;14.448;14.153;149;146;2.147;129.003;45.737;61.802;18.497;2.967;6.290;16.528;2.934;57;14.722;45.512;561;236;6.928;2.395;3.499;102;381;74;158;315;4;6.913;190;4.241;2.482;578;14.655;158.106;688;22.723
;;08417 ZOLLERNALBKREIS;14.764;14.314;175;275;2.146;131.213;47.419;62.878;18.534;2.382;7.030;21.666;2.288;52;12.600;45.779;689;109;8.600;2.860;4.191;88;504;132;251;571;3;10.971;543;6.932;3.496;838;20.518;166.495;874;28.684
;;08421 ULM,STADT;6.279;6.155;60;64;923;67.727;22.578;33.296;10.076;1.777;3.227;9.745;1.238;80;13.049;20.834;533;424;4.770;1.457;2.348;48;249;116;258;292;2;1.637;471;877;289;483;7.314;81.320;641;8.565
;;08425 ALB-DONAU-KREIS;17.088;16.481;228;379;2.520;132.984;45.744;64.044;20.223;2.973;7.005;19.812;2.463;10;10.521;44.306;666;352;8.160;2.425;4.363;94;466;153;187;470;2;14.558;696;10.098;3.764;982;24.052;174.124;872;30.458
;;08426 BIBERACH;17.132;16.578;199;355;2.375;136.070;43.601;66.899;22.355;3.215;6.498;20.281;2.623;40;11.915;45.055;669;173;10.332;2.768;5.781;114;465;133;342;722;7;15.951;963;11.239;3.749;972;27.428;180.630;889;34.687
;;08435 BODENSEEKREIS;21.681;21.159;269;253;3.329;142.071;48.459;65.908;24.461;3.243;8.795;22.023;3.683;20;14.379;49.147;649;172;8.468;2.968;4.524;102;388;85;122;275;4;9.972;204;8.136;1.632;711;19.323;183.075;836;22.201
;;08436 RAVENSBURG;25.672;24.877;329;466;3.616;185.550;65.150;86.870;29.209;4.321;8.903;28.978;4.971;94;18.934;62.586;646;236;13.608;4.063;7.331;134;557;192;451;874;6;18.304;981;14.029;3.294;1.102;33.250;244.472;852;39.593
;;08437 SIGMARINGEN;11.524;11.182;121;221;1.669;89.350;31.465;43.079;13.112;1.694;4.161;13.406;1.710;33;8.100;29.847;678;142;5.810;1.842;3.028;61;332;84;135;325;3;10.532;417;7.370;2.745;662;17.146;118.020;896;22.831
;RB ZUSAMMEN;;149.251;145.083;1.758;2.410;21.730;1.197.448;416.211;570.982;183.862;26.393;61.079;180.527;25.626;468;124.160;407.065;638;2.086;77.998;24.291;40.953;882;3.979;1.260;2.212;4.384;37;101.524;4.991;71.521;25.012;7.217;188.825;1.535.524;818;245.211
BADEN-W‹RTEMBERG INSGESAMT;;;758.659;737.784;9.818;11.057;105.744;6.867.358;2.352.158;3.296.224;1.052.207;166.769;363.172;1.020.803;126.673;2.625;840.934;2.303.255;617;9.258;432.116;143.143;218.057;5.138;24.082;8.514;11.559;21.455;168;397.699;26.136;272.670;98.893;37.285;876.358;8.502.375;764;1.128.121
BAYERN;RB OBERBAYERN;09161 INGOLSTADT,STADT;8.768;8.561;120;87;1.070;98.747;28.131;50.680;15.830;4.106;4.011;24.299;1.345;45;33.203;22.463;715;263;3.810;1.354;1.949;34;172;68;72;160;1;1.558;137;1.153;268;637;6.268;113.783;824;9.357
;;09162 MUENCHEN,STADT;69.556;68.090;1.070;396;9.423;761.349;203.056;397.758;135.402;25.133;43.422;160.133;14.357;272;238.613;197.569;512;1.454;44.989;14.916;25.516;251;1.960;546;627;1.156;17;4.807;690;3.589;528;5.625;56.875;887.780;597;43.054
;;09163 ROSENHEIM,STADT;3.858;3.764;52;42;533;36.020;12.184;17.056;6.038;742;1.539;6.359;831;39;5.731;12.072;567;33;2.637;922;1.350;35;96;48;72;114;-;666;27;519;120;467;3.803;43.681;688;4.039
;;09171 ALTOETTING;9.788;9.447;109;232;1.354;73.658;23.875;37.322;10.896;1.565;3.466;11.200;1.500;37;5.938;25.096;657;125;4.661;1.606;2.414;24;183;54;109;269;2;6.231;246;4.958;1.027;585;11.602;95.048;848;15.711
;;09172 BERCHTESGADENER LAND;8.978;8.730;87;161;1.127;67.056;24.889;31.446;9.368;1.353;2.505;15.386;1.637;27;6.777;22.538;630;104;4.060;1.416;2.051;63;163;106;105;156;-;5.085;108;3.839;1.138;489;9.738;85.772;806;10.981
;;09173 BAD TOELZ-WOLFRATSHAUSEN;11.689;11.354;145;190;1.570;82.446;27.494;39.238;14.035;1.679;4.075;18.389;2.439;25;8.294;29.474;645;35;6.409;2.101;3.539;40;226;83;128;290;2;7.025;128;5.399;1.498;620;14.089;108.224;846;14.788
;;09174 DACHAU;13.775;13.338;206;231;1.990;95.518;31.278;46.476;15.658;2.106;5.303;15.104;2.084;28;9.152;32.320;614;162;7.117;2.237;3.751;56;346;191;170;361;5;6.454;461;4.866;1.127;615;14.348;123.641;795;16.857
;;09175 EBERSBERG;11.048;10.732;160;156;1.486;87.636;27.708;42.920;14.635;2.373;5.091;15.773;1.970;15;9.364;30.132;606;190;5.786;1.837;2.999;56;253;123;167;350;1;5.963;367;4.816;780;495;12.434;111.118;769;12.689
;;09176 EICHSTAETT;13.308;12.777;200;331;1.601;87.081;28.982;44.318;11.948;1.833;3.691;14.972;1.749;28;5.144;25.793;652;116;4.925;1.598;2.491;50;241;103;161;279;2;10.481;364;8.131;1.986;569;16.091;116.480;872;21.099
;;09177 ERDING;12.520;12.019;144;357;1.605;91.783;29.342;46.168;14.199;2.074;4.570;14.736;1.590;22;7.403;31.115;657;190;6.553;2.102;3.218;62;285;125;270;490;1;10.490;391;7.876;2.223;761;17.994;122.297;876;17.574
;;09178 FREISING;15.041;14.544;232;265;2.109;111.921;34.563;56.462;18.245;2.651;5.755;17.216;2.126;41;11.749;36.601;618;188;8.584;2.769;4.328;67;452;260;232;474;2;9.395;536;7.181;1.678;829;18.996;145.958;806;18.595
;;09179 FUERSTENFELDBRUCK;15.756;15.357;245;154;2.388;125.494;42.316;60.022;20.373;2.783;6.934;19.142;3.198;25;11.011;43.948;574;150;8.555;2.900;4.465;75;403;163;260;282;7;4.738;157;3.451;1.130;699;14.142;155.392;711;18.316
;;09180 GARMISCH-PARTENKIRCHEN;8.099;7.920;69;110;1.096;53.367;18.892;25.123;8.320;1.032;2.277;13.008;2.096;35;6.272;19.714;605;48;4.058;1.465;2.213;28;114;26;70;141;1;4.954;59;4.198;697;381;9.441;70.907;804;9.512
;;09181 LANDSBERG AM LECH;12.427;12.019;187;221;1.752;84.951;27.027;41.578;13.534;2.812;4.807;13.356;2.458;18;9.390;29.228;699;114;5.066;1.633;2.776;59;178;75;92;252;1;8.012;230;5.963;1.819;496;13.688;111.066;914;17.683
;;09182 MIESBACH;9.920;9.650;93;177;1.299;67.816;21.375;32.452;12.350;1.639;4.276;19.413;1.847;23;8.027;24.215;678;60;5.230;1.846;2.653;56;198;65;141;269;2;5.212;160;4.313;739;486;10.988;88.724;887;11.386
;;09183 MUEHLDORF A.INN;10.374;9.798;143;433;1.376;77.350;25.094;38.601;12.009;1.646;3.464;12.042;1.437;28;6.389;25.968;658;133;5.652;1.836;2.991;48;204;104;156;312;1;9.486;296;8.000;1.190;597;15.868;103.592;881;18.286
;;09184 MUENCHEN;24.197;23.685;332;180;3.396;240.952;63.622;121.248;46.724;9.358;15.470;56.181;4.430;28;66.282;67.803;689;399;19.662;6.955;9.770;292;868;335;573;862;7;5.175;658;3.911;606;2.090;27.326;292.475;836;22.372
;;09185 NEUBURG-SCHROBENHAUSEN;9.919;9.454;190;275;1.386;67.210;21.036;34.573;10.424;1.177;3.053;10.494;1.145;18;5.737;21.351;682;103;4.868;1.477;2.507;64;232;89;167;328;4;8.219;457;6.300;1.462;510;13.700;90.829;922;17.455
;;09186 PFAFFENHOFEN A.D.ILM;13.158;12.662;202;294;1.837;86.392;26.030;44.344;14.004;2.014;4.319;14.399;1.526;24;6.467;27.978;666;53;5.942;1.603;3.307;58;263;142;166;398;5;9.650;627;7.509;1.514;517;16.162;115.712;892;19.713
;;09187 ROSENHEIM;24.387;23.602;355;430;3.409;176.546;59.944;84.276;28.033;4.293;8.773;33.407;4.870;26;18.163;62.710;670;224;12.998;4.387;6.905;96;533;211;320;544;2;16.437;967;12.733;2.737;1.048;30.707;231.640;880;35.255
;;09188 STARNBERG;11.637;11.381;142;114;1.508;89.584;26.362;41.806;18.458;2.958;7.756;20.068;2.296;33;11.986;31.686;655;73;5.375;1.889;2.889;39;182;48;124;204;-;3.525;146;2.633;746;540;9.513;110.734;810;13.537
;;09189 TRAUNSTEIN;16.075;15.565;163;347;2.083;120.900;40.993;59.212;17.890;2.805;5.565;21.981;3.292;45;9.985;41.459;678;190;8.360;2.744;4.221;55;347;145;227;615;6;14.340;735;11.157;2.448;1.003;23.893;160.868;901;26.504
;;09190 WEILHEIM-SCHONGAU;13.211;12.786;175;250;1.795;90.570;30.997;43.346;14.117;2.110;4.142;15.928;3.209;31;7.370;31.904;663;88;6.270;2.143;3.322;51;273;77;105;298;1;10.767;171;8.217;2.379;528;17.653;121.434;889;19.145
;RB ZUSAMMEN;;347.489;337.235;4.821;5.433;47.193;2.874.347;875.190;1.436.425;482.490;80.242;154.264;562.986;63.432;913;508.447;893.137;608;4.495;191.567;63.736;101.625;1.659;8.172;3.187;4.514;8.604;70;168.670;8.118;130.712;29.840;20.587;385.319;3.607.155;763;413.908
;RB NIEDERBAYERN;09261 LANDSHUT,STADT;4.131;4.036;51;44;570;38.582;12.461;19.271;6.071;779;1.848;5.993;685;31;4.370;13.337;527;83;2.031;635;1.040;29;89;72;69;97;-;781;46;617;118;187;3.082;45.795;626;4.107
;;09262 PASSAU,STADT;3.458;3.357;62;39;467;29.824;9.725;15.104;4.303;692;1.286;5.278;456;55;5.224;9.591;562;76;2.556;695;1.284;20;108;53;62;334;-;900;142;654;104;270;3.802;37.084;698;4.807
;;09263 STRAUBING,STADT;2.473;2.366;51;56;327;28.134;9.534;13.760;4.253;587;1.273;4.263;347;15;4.228;9.164;588;52;2.208;845;973;20;120;66;63;121;-;687;92;528;67;444;3.391;33.998;710;3.758
;;09271 DEGGENDORF;10.945;10.320;121;504;1.559;80.877;25.729;42.183;11.373;1.592;3.132;14.748;1.008;31;8.196;26.785;671;174;6.555;1.971;3.456;33;326;118;216;431;4;10.256;350;8.280;1.626;655;17.640;109.462;908;19.495
;;09272 FREYUNG-GRAFENAU;9.873;9.173;85;615;1.208;54.298;17.783;28.514;7.150;851;1.732;15.530;768;67;4.448;17.258;691;147;3.810;1.239;1.959;25;165;112;118;192;-;11.377;174;8.915;2.288;441;15.775;79.946;1.017;14.022
;;09273 KELHEIM;11.759;11.203;187;369;1.609;83.072;25.854;42.841;12.604;1.773;3.701;12.962;1.184;28;6.269;26.531;670;232;5.796;1.726;3.192;35;283;99;144;316;1;10.141;425;8.171;1.545;564;16.733;111.564;900;18.540
;;09274 LANDSHUT;15.619;14.816;238;565;1.975;112.861;33.259;59.143;17.783;2.676;4.990;18.596;1.966;13;9.363;36.457;695;172;8.709;2.568;4.666;93;477;213;228;462;2;14.741;449;12.162;2.130;858;24.480;152.960;942;27.451
;;09275 PASSAU;20.389;19.368;228;793;2.527;133.011;44.257;67.440;18.493;2.821;5.021;26.441;1.816;2;10.680;44.756;685;336;9.119;3.038;4.464;72;512;172;312;547;2;19.867;764;15.258;3.845;893;30.215;183.615;946;34.787
;;09276 REGEN;7.813;7.249;67;497;933;51.372;17.003;26.689;6.824;856;1.570;14.274;680;18;4.508;16.587;666;90;3.676;1.196;2.017;23;148;48;74;168;2;9.764;86;7.995;1.683;409;13.939;73.124;947;13.227
;;09277 ROTTAL-INN;12.460;11.615;143;702;1.524;85.742;26.741;44.622;12.751;1.628;3.803;13.646;1.387;30;9.366;27.540;701;212;7.308;2.447;3.637;73;432;126;171;413;9;16.449;356;14.108;1.985;832;24.801;123.003;1.006;24.461
;;09278 STRAUBING-BOGEN;10.062;9.320;122;620;1.295;71.196;22.940;36.634;10.210;1.412;3.064;12.106;945;104;4.306;23.062;695;113;5.002;1.592;2.646;46;243;111;115;247;2;13.593;335;10.785;2.473;539;19.247;100.505;982;19.784
;;09279 DINGOLFING-LANDAU;9.387;8.853;156;378;1.222;71.368;18.056;39.790;11.980;1.542;3.381;11.942;1.057;21;8.636;20.484;728;146;4.377;1.445;2.203;26;228;98;125;250;2;9.932;642;7.814;1.476;475;14.930;95.685;976;18.923
;RB ZUSAMMEN;;118.369;111.676;1.511;5.182;15.216;840.337;263.342;435.991;123.795;17.209;34.801;155.779;12.299;415;79.594;271.552;670;1.833;61.147;19.397;31.537;495;3.131;1.288;1.697;3.578;24;118.488;3.861;95.287;19.340;6.567;188.035;1.146.741;915;203.362
;RB OBERPFALZ;09361 AMBERG,STADT;2.256;2.181;36;39;286;25.238;9.167;12.223;3.264;584;1.046;3.379;375;31;3.146;8.667;601;44;1.615;585;771;14;79;30;58;77;1;675;126;448;101;146;2.480;29.974;714;3.303
;;09362 REGENSBURG,STADT;7.488;7.291;108;89;1.056;81.957;26.784;41.370;11.698;2.105;3.526;13.540;1.347;85;18.167;25.745;534;378;6.117;1.798;3.284;61;396;223;137;217;1;1.426;530;817;79;952;8.873;98.318;640;7.950
;;09363 WEIDEN I.D.OPF.,STADT;2.612;2.495;44;73;391;26.423;9.678;12.771;3.515;459;1.042;3.674;369;36;3.809;9.018;622;41;1.984;740;891;20;144;30;66;91;2;735;120;506;109;176;2.936;31.971;753;3.736
;;09371 AMBERG-SULZBACH;9.996;9.506;96;394;1.236;72.020;25.136;36.066;9.041;1.777;2.723;10.632;1.160;1;5.120;24.195;697;218;4.321;1.439;2.240;46;232;56;86;222;-;10.711;232;8.068;2.411;451;15.701;97.717;946;16.917
;;09372 CHAM;14.790;13.848;134;808;1.799;91.350;30.565;47.206;11.856;1.723;2.894;17.083;907;38;8.187;28.592;711;142;7.927;2.402;3.899;75;403;201;319;624;4;18.604;407;14.409;3.788;864;27.537;133.677;1.041;25.207
;;09373 NEUMARKT I.D.OPF.;13.507;12.897;149;461;1.789;91.940;30.728;47.533;11.668;2.011;3.617;12.979;1.485;25;10.772;28.100;676;204;7.544;2.600;3.739;53;387;136;204;422;3;12.980;531;10.141;2.308;690;21.418;126.865;932;21.037
;;09374 NEUSTADT A.D.WALDNAAB;9.948;9.316;110;522;1.416;66.264;23.426;33.507;8.146;1.185;2.225;9.608;870;1;4.352;21.649;699;60;3.987;1.319;1.948;40;239;70;114;256;1;11.000;326;7.963;2.711;541;15.588;91.800;968;16.577
;;09375 REGENSBURG;18.874;18.092;190;592;2.547;130.134;44.552;64.190;18.446;2.946;5.808;20.505;2.029;2;9.682;43.701;667;247;9.003;2.917;4.489;49;455;283;266;538;6;12.998;832;9.984;2.182;862;23.110;172.118;882;27.977
;;09376 SCHWANDORF;16.310;15.524;228;558;2.122;103.363;34.742;53.826;13.091;1.704;3.671;14.642;1.234;54;9.288;32.972;693;138;6.794;2.198;3.413;55;314;89;165;557;3;14.864;1.134;10.672;3.058;863;22.659;142.332;954;26.910
;;09377 TIRSCHENREUTH;7.644;7.182;60;402;970;49.392;18.723;24.431;5.509;729;1.511;7.354;520;29;3.551;16.024;689;94;3.427;1.134;1.747;28;191;30;100;197;-;8.446;407;6.126;1.913;476;12.443;69.479;970;13.011
;RB ZUSAMMEN;;103.425;98.332;1.155;3.938;13.612;738.081;253.501;373.123;96.234;15.223;28.063;113.396;10.296;302;76.074;238.663;661;1.566;52.719;17.132;26.421;441;2.840;1.148;1.515;3.201;21;92.439;4.645;69.134;18.660;6.021;152.745;994.251;890;162.625
