"Land

";Regierungsbezirk;"Statistische Kennziffer und Zulassungsbezirk
";Insgesamt;Nach Kraftstoffarten;;;;;;;Nach Emissionsgruppen;;;;;;;;;;;Darunter dieselangetriebene Pkw nach Emissionsgruppen;;;;;;;;;;
;;;;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;darunter Euro 6d-temp;darunter Euro 6d;darunter Euro 6e;sonstige;"schadstoff-
reduzierte insgesamt";Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;darunter Euro 6d-temp;darunter Euro 6d;darunter Euro 6e;sonstige;"schadstoff-
reduziert mit
Dieselantrieb insgesamt"
;;08221 HEIDELBERG,STADT;61.217;36.867;17.135;355;4.770;1.507;2.060;30;712;2.678;2.885;11.092;12.233;27.769;6.117;9.319;54;2.280;59.649;58;508;1.107;1.892;4.787;8.546;2.001;2.375;7;71;16.969
;;08222 MANNHEIM,STADT;157.809;95.842;43.347;820;12.967;4.239;4.814;19;1.427;5.875;7.343;30.253;29.261;74.424;15.942;27.333;158;5.399;153.982;133;839;2.684;5.409;11.001;22.788;4.837;7.318;19;165;43.019
;;08225 NECKAR-ODENWALD-KREIS;97.723;58.293;31.627;573;4.766;1.560;2.454;10;721;3.541;4.422;18.870;22.123;43.990;9.939;11.223;51;2.771;96.438;106;767;2.140;3.974;10.244;14.112;2.839;2.286;3;88;31.431
;;08226 RHEIN-NECKAR-KREIS;361.144;225.163;95.136;2.014;25.456;10.329;13.313;62;3.178;13.597;16.427;67.086;75.071;165.500;38.145;50.889;149;14.385;355.244;333;2.313;6.236;11.435;28.837;44.955;10.105;10.012;11;306;94.415
;;08231 PFORZHEIM,STADT;63.835;40.207;17.339;322;4.089;1.466;1.868;10;453;2.099;2.896;12.545;13.469;29.375;6.470;8.443;51;2.017;62.854;26;325;1.113;2.377;5.224;8.157;1.566;1.366;3;25;17.247
;;08235 CALW;110.383;64.438;34.459;701;6.303;1.847;4.462;20;937;3.673;4.601;19.585;23.626;51.154;11.313;14.350;83;4.776;108.352;97;821;2.250;4.151;10.537;16.171;3.259;2.993;6;110;34.137
;;08236 ENZKREIS;137.283;88.409;36.407;890;7.120;2.590;4.429;28;1.175;5.265;6.374;25.569;29.695;61.634;14.422;16.020;61;4.813;134.525;109;987;2.627;4.354;11.150;16.719;3.607;3.010;2;94;36.040
;;08237 FREUDENSTADT;80.993;46.219;27.172;468;4.904;1.417;2.222;8;566;2.384;3.226;13.990;18.255;38.904;8.468;11.332;138;2.463;79.788;72;581;1.649;3.131;8.803;12.674;2.495;2.463;10;56;26.966
;RB ZUSAMMEN;;1.690.982;1.036.304;478.460;9.997;109.559;37.483;56.347;315;14.827;64.789;79.160;319.086;355.298;766.153;172.336;228.080;1.186;61.491;1.660.804;1.528;12.171;32.402;59.436;143.410;224.131;48.033;48.259;126;1.471;474.549
;RB FREIBURG;08311 FREIBURG I.BREISG.STADT;95.274;54.941;30.984;720;5.315;1.845;3.285;29;1.209;4.934;5.595;19.191;19.892;38.807;8.484;11.674;52;3.633;93.261;173;1.324;2.540;3.956;8.421;13.994;2.977;3.764;5;167;30.575
