"Land

";Regierungsbezirk;"Statistische Kennziffer und Zulassungsbezirk
";Insgesamt;Nach Kraftstoffarten;;;;;;;Nach Emissionsgruppen;;;;;;;;;;;Darunter dieselangetriebene Pkw nach Emissionsgruppen;;;;;;;;;;
;;;;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;darunter Euro 6d-temp;darunter Euro 6d;darunter Euro 6e;sonstige;schadstoffreduzierte insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;darunter Euro 6d-temp;darunter Euro 6d;darunter Euro 6e;sonstige;schadstoffred. mit Dieselantrieb insgesamt
;;08221 HEIDELBERG,STADT;61.272;36.281;16.497;321;5.662;1.558;2.485;26;648;2.416;2.579;10.342;11.709;29.323;5.583;10.119;1.625;2.692;59.709;51;467;1.006;1.689;4.518;8.550;1.655;2.533;349;56;16.337
;;08222 MANNHEIM,STADT;158.974;94.500;42.168;774;15.751;4.358;5.763;18;1.322;5.306;6.505;28.232;28.362;79.051;14.621;28.416;5.843;6.379;155.157;130;770;2.391;4.962;10.594;22.824;3.951;7.639;1.058;159;41.830
;;08225 NECKAR-ODENWALD-KREIS;98.349;58.068;31.183;530;5.800;1.623;2.755;13;688;3.155;3.998;17.264;21.152;47.637;10.119;13.066;2.040;3.093;96.987;103;702;1.943;3.534;9.662;14.945;2.939;2.718;421;85;30.974
;;08226 RHEIN-NECKAR-KREIS;364.131;222.320;91.889;1.921;30.989;10.747;16.950;62;2.925;12.186;14.789;62.100;71.564;176.396;35.217;58.174;8.639;18.103;358.063;310;2.141;5.672;10.273;27.032;45.439;8.698;11.567;1.208;283;91.150
;;08231 PFORZHEIM,STADT;64.113;39.662;17.005;294;4.993;1.514;2.151;8;414;1.851;2.589;11.643;12.946;31.323;6.351;9.307;1.586;2.332;63.098;24;310;984;2.198;4.965;8.396;1.599;1.560;148;31;16.908
;;08235 CALW;111.300;64.016;33.863;607;7.770;1.969;5.028;16;868;3.392;4.131;17.976;22.510;54.908;11.298;15.530;3.208;5.363;109.148;96;777;2.033;3.725;9.931;16.851;3.252;3.481;454;115;33.528
;;08236 ENZKREIS;137.668;87.328;35.751;823;8.682;2.727;5.061;23;1.079;4.743;5.778;23.829;28.188;65.745;14.348;18.284;2.717;5.468;134.830;103;927;2.418;4.003;10.466;17.367;3.596;3.563;319;88;35.372
;;08237 FREUDENSTADT;81.893;46.316;26.547;453;5.985;1.408;2.581;11;515;2.187;2.893;12.848;17.296;42.066;8.506;12.269;2.569;2.818;80.623;62;522;1.506;2.812;8.213;13.167;2.490;2.772;372;53;26.335
;RB ZUSAMMEN;;1.701.092;1.025.013;466.398;9.431;132.932;38.970;67.023;295;13.582;58.349;71.296;296.090;339.823;818.455;166.089;252.346;43.357;72.430;1.670.025;1.429;11.243;29.509;53.913;135.350;229.493;44.258;54.470;6.551;1.416;462.353
;RB FREIBURG;08311 FREIBURG I.BREISG.STADT;95.631;53.956;30.473;724;6.329;1.941;4.124;25;1.073;4.464;5.038;17.906;19.261;41.374;8.212;12.970;2.084;4.466;93.582;151;1.275;2.338;3.577;8.039;14.509;2.764;4.286;512;160;30.049
;;08315 BREISGAU-HOCHSCHWARZWALD;165.479;97.786;51.184;937;9.311;2.648;6.229;32;1.627;6.457;8.148;30.819;36.357;71.792;15.562;18.776;2.166;6.859;162.059;246;1.642;3.700;6.120;15.671;23.048;4.623;4.811;426;248;50.675
;;08316 EMMENDINGEN;106.560;65.186;31.494;572;5.640;1.553;3.653;15;944;4.469;5.488;21.678;23.979;44.061;9.480;11.296;1.389;4.057;104.676;128;1.042;2.431;4.151;9.700;13.598;2.709;2.842;218;137;31.187
