;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraftomni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahrzeug-
anh‰nger"
;;09374 NEUSTADT A.D.WALDNAAB;10.347;9.724;125;498;1.503;67.244;23.517;33.600;8.064;2.063;2.310;10.267;1.001;1;4.568;22.238;698;69;4.206;1.383;2.151;38;225;60;116;231;2;11.150;280;8.235;2.635;540;15.965;93.556;970;16.999
;;09375 REGENSBURG;19.512;18.762;210;540;2.653;133.489;45.337;64.936;18.222;4.994;5.823;22.320;2.402;2;10.904;44.967;667;266;9.801;3.071;5.177;49;418;250;277;555;4;13.413;998;10.299;2.116;883;24.363;177.364;886;28.995
;;09376 SCHWANDORF;16.828;16.055;249;524;2.248;105.465;35.112;54.270;13.058;3.025;3.683;15.943;1.526;57;9.569;33.952;693;137;7.423;2.316;3.922;55;298;78;169;582;3;15.079;1.095;11.084;2.900;858;23.497;145.790;957;27.795
;;09377 TIRSCHENREUTH;7.813;7.395;71;347;1.011;49.887;18.622;24.563;5.478;1.224;1.543;7.832;630;32;3.763;16.392;691;94;3.663;1.202;1.918;24;182;35;96;205;1;8.614;410;6.356;1.848;482;12.853;70.553;978;13.530
;RB ZUSAMMEN;;106.723;101.777;1.257;3.689;14.316;750.871;254.791;375.781;95.094;25.205;28.102;122.348;12.157;318;79.173;244.533;658;1.648;56.193;17.931;29.416;414;2.563;941;1.587;3.320;21;94.357;4.765;71.640;17.952;6.162;158.360;1.015.954;890;168.252
;RB OBERFRANKEN;09461 BAMBERG,STADT;4.749;4.658;40;51;690;41.399;14.524;19.956;5.473;1.446;1.808;5.256;904;47;7.681;13.942;514;84;3.483;1.225;1.571;24;213;133;120;194;3;1.102;584;411;107;1.062;5.731;51.879;644;5.034
;;09462 BAYREUTH,STADT;3.674;3.537;70;67;571;41.020;14.571;19.708;5.056;1.685;1.646;6.153;610;39;8.272;13.589;548;69;3.288;995;1.713;29;151;62;178;158;2;775;107;551;117;606;4.738;49.432;660;4.253
;;09463 COBURG,STADT;2.621;2.577;18;26;347;25.464;9.072;12.213;3.265;914;1.278;3.602;377;23;4.219;8.692;604;53;1.726;601;909;39;66;18;33;59;1;368;32;266;70;173;2.320;30.405;722;2.769
;;09464 HOF,STADT;2.423;2.353;23;47;349;26.774;11.439;11.826;2.827;682;963;3.488;328;37;4.326;9.010;570;62;1.930;647;913;18;86;37;87;140;2;744;181;491;72;276;3.012;32.209;686;3.484
;;09471 BAMBERG;14.998;14.535;145;318;2.250;104.812;36.041;52.109;13.489;3.173;4.341;13.914;2.298;2;7.069;37.390;700;139;7.885;2.317;3.734;52;369;131;136;1.143;3;12.415;565;9.137;2.713;572;21.011;140.821;940;23.073
;;09472 BAYREUTH;10.541;9.914;116;511;1.572;73.200;27.072;35.424;8.591;2.113;2.964;12.038;1.315;3;4.494;26.272;698;202;4.717;1.533;2.387;54;215;71;135;319;3;12.338;224;9.165;2.949;760;18.017;101.758;971;16.205
;;09473 COBURG;7.507;7.264;78;165;1.065;60.436;22.917;28.551;7.135;1.833;2.579;8.415;903;1;4.191;22.333;693;26;3.801;1.236;1.921;53;226;66;101;193;5;5.368;373;3.738;1.257;373;9.568;77.511;888;12.723
;;09474 FORCHHEIM;11.158;10.753;108;297;1.672;79.855;27.991;38.597;10.522;2.745;3.657;12.266;1.826;22;4.937;28.868;673;255;4.886;1.651;2.538;33;242;85;106;230;1;9.445;260;7.277;1.908;472;15.058;106.071;893;14.651
;;09475 HOF;7.864;7.591;87;186;1.105;64.948;26.006;30.144;7.172;1.626;2.568;10.482;928;2;5.495;23.314;688;95;4.727;1.546;2.226;42;167;73;251;422;-;7.223;380;5.380;1.463;666;12.711;85.523;907;15.720
;;09476 KRONACH;6.305;6.013;67;225;760;46.145;18.030;21.967;5.053;1.095;1.897;8.149;581;17;4.099;16.240;696;61;3.060;961;1.492;62;148;65;118;212;2;5.213;294;3.825;1.094;456;8.790;61.240;924;11.015
;;09477 KULMBACH;6.539;6.314;59;166;1.018;50.966;18.516;24.648;6.286;1.516;2.210;7.910;881;17;5.214;18.350;708;88;3.807;1.241;2.054;43;139;36;82;210;2;6.016;259;4.372;1.385;347;10.258;67.763;942;11.525
;;09478 LICHTENFELS;6.231;6.020;81;130;870;45.965;16.689;22.295;5.853;1.128;2.001;6.327;749;15;3.765;16.404;680;67;3.473;1.068;1.771;44;179;91;150;169;1;5.460;192;4.056;1.212;379;9.379;61.575;911;10.277
;;09479 WUNSIEDEL I.FICHTELGEB.;5.955;5.725;82;148;833;47.794;18.905;22.264;5.443;1.182;1.788;7.528;782;23;4.376;17.319;664;78;2.924;1.076;1.498;30;108;29;86;96;1;4.249;92;3.194;963;351;7.602;61.351;852;9.836
;RB ZUSAMMEN;;90.565;87.254;974;2.337;13.102;708.778;261.773;339.702;86.165;21.138;29.700;105.528;12.482;248;68.138;251.723;658;1.279;49.707;16.097;24.727;523;2.309;897;1.583;3.545;26;70.716;3.543;51.863;15.310;6.493;128.195;927.538;861;140.565
;RB MITTELFRANKEN;09561 ANSBACH,STADT;2.585;2.510;45;30;429;26.027;8.637;13.071;3.476;843;1.019;3.551;459;43;4.344;8.656;615;30;1.735;488;940;19;105;28;65;88;2;1.273;89;925;259;185;3.223;31.835;752;3.712
;;09562 ERLANGEN,STADT;5.475;5.345;81;49;803;56.522;19.139;27.185;7.962;2.236;2.435;7.806;1.442;61;7.023;18.928;480;73;2.979;1.238;1.370;31;144;34;62;100;-;880;71;626;183;339;4.271;66.268;563;4.986
;;09563 FUERTH,STADT;6.675;6.475;130;70;940;64.830;22.998;30.514;9.182;2.136;3.111;8.955;1.268;60;7.114;22.957;491;138;4.368;1.464;2.363;36;206;105;91;101;2;846;134;632;80;315;5.667;77.172;584;6.112
;;09564 NUERNBERG,STADT;24.426;23.807;371;248;3.453;248.893;80.948;121.840;37.051;9.054;11.563;38.022;4.592;121;41.605;79.835;473;644;21.408;7.390;10.633;185;1.063;514;596;1.022;5;3.976;1.717;1.930;329;1.574;27.602;300.921;572;23.737
;;09565 SCHWABACH,STADT;2.968;2.900;43;25;457;26.406;9.198;12.518;3.797;893;1.397;3.801;595;1;3.467;9.514;638;25;1.746;527;999;11;63;34;27;83;2;544;50;362;132;143;2.458;31.832;769;3.141
;;09571 ANSBACH;18.406;17.617;275;514;2.712;130.980;43.015;66.522;17.189;4.254;5.250;16.955;2.630;-;9.570;44.663;691;201;9.325;2.984;4.771;88;461;161;247;609;4;23.411;660;17.220;5.531;1.051;33.988;183.374;968;33.170
;;09572 ERLANGEN-HOECHSTADT;10.850;10.525;130;195;1.552;95.284;30.946;45.923;13.477;4.938;4.713;14.207;2.310;3;8.369;33.837;673;172;4.754;1.582;2.509;37;230;71;95;227;3;6.038;388;4.136;1.514;425;11.389;117.523;830;15.186
;;09573 FUERTH;10.250;9.937;136;177;1.556;78.790;28.549;36.237;11.187;2.817;4.333;10.977;1.856;4;4.600;30.273;658;38;5.273;1.827;2.715;46;276;118;127;162;2;3.620;131;2.907;582;351;9.282;98.322;821;11.378
;;09574 NUERNBERGER LAND;15.086;14.704;163;219;2.270;113.725;39.437;54.095;15.930;4.263;5.847;17.754;2.894;33;10.659;41.258;658;74;7.140;2.444;3.714;67;307;106;155;343;4;8.582;325;6.137;2.120;677;16.473;145.284;840;18.392
;;09575 NEUSTADT/AISCH-WINDSHEIM;9.309;8.830;130;349;1.326;70.512;22.213;35.998;9.708;2.593;2.918;10.081;1.475;23;4.915;24.440;680;146;5.267;1.746;2.640;56;303;88;149;283;2;12.592;265;9.563;2.764;554;18.559;98.380;949;17.679
;;09576 ROTH;13.060;12.624;134;302;1.937;89.835;30.357;43.759;12.713;3.006;4.200;12.809;2.177;33;7.942;31.488;693;139;6.838;1.997;3.729;38;337;167;233;332;5;9.724;545;6.935;2.244;677;17.378;120.273;928;18.680
;;09577 WEISSENBURG-GUNZENHAUSEN;8.783;8.386;109;288;1.327;65.077;21.895;32.232;8.819;2.131;2.581;9.651;1.527;27;5.533;21.831;669;179;4.378;1.352;2.341;37;202;55;133;258;-;10.730;294;7.968;2.468;524;15.811;89.671;922;16.114
;RB ZUSAMMEN;;127.873;123.660;1.747;2.466;18.762;1.066.881;357.332;519.894;150.491;39.164;49.367;154.569;23.225;409;115.141;367.680;588;1.859;75.211;25.039;38.724;651;3.697;1.481;1.980;3.608;31;82.216;4.669;59.341;18.206;6.815;166.101;1.360.855;750;172.287
;RB UNTERFRANKEN;09661 ASCHAFFENBURG,STADT;3.814;3.717;58;39;509;44.494;14.963;20.919;6.199;2.413;2.277;6.377;699;53;8.294;14.571;610;115;3.672;1.124;1.978;40;173;67;127;162;1;508;96;284;128;294;4.589;52.897;725;4.324
;;09662 SCHWEINFURT,STADT;2.319;2.250;39;30;324;30.194;9.024;15.622;4.477;1.071;1.101;4.501;516;39;5.578;9.097;548;48;2.237;770;1.096;16;117;49;54;132;3;392;168;197;27;243;2.920;35.433;643;3.515
;;09663 WUERZBURG,STADT;6.346;6.186;92;68;883;64.354;21.205;31.333;9.226;2.590;3.204;8.894;1.233;72;12.040;21.091;502;104;6.155;1.775;3.169;130;658;115;116;192;-;970;196;664;110;838;8.067;78.767;614;6.759
;;09671 ASCHAFFENBURG;13.490;13.119;188;183;1.802;120.229;40.933;57.732;17.034;4.530;6.623;19.429;2.244;3;11.058;42.385;679;139;9.285;2.968;4.971;89;454;174;220;406;3;6.078;365;4.161;1.552;642;16.144;149.863;846;22.263
;;09672 BAD KISSINGEN;8.755;8.430;82;243;1.204;72.646;23.379;36.505;10.457;2.305;2.864;10.920;1.856;38;5.903;24.967;693;162;5.302;1.517;3.079;53;248;61;108;233;3;8.983;308;6.393;2.282;576;15.023;96.424;919;17.824
;;09673 RHOEN-GRABFELD;7.209;6.812;86;311;1.060;56.020;16.946;29.810;7.456;1.808;1.812;9.006;1.244;26;4.939;18.999;696;116;3.990;1.128;2.094;43;283;109;110;223;-;7.746;127;6.403;1.216;499;12.351;75.580;938;15.779
;;09674 HASSBERGE;7.934;7.539;81;314;1.082;60.170;18.857;31.534;7.861;1.918;2.285;8.146;1.344;20;4.346;20.497;705;113;4.536;1.302;2.275;55;299;76;309;218;2;8.487;388;6.035;2.064;492;13.628;81.732;957;15.453
;;09675 KITZINGEN;8.207;7.835;91;281;1.218;63.980;19.905;32.608;9.087;2.380;2.934;8.300;1.171;25;5.455;22.212;682;206;4.917;1.539;2.505;59;268;90;135;319;2;7.702;494;5.823;1.385;571;13.396;85.583;912;14.248
;;09676 MILTENBERG;9.399;9.036;134;229;1.301;87.587;28.970;44.220;12.022;2.375;4.133;13.490;1.733;29;8.540;30.234;672;120;6.358;1.968;3.444;71;348;139;137;248;3;5.401;183;3.667;1.551;517;12.396;109.382;839;17.910
;;09677 MAIN-SPESSART;11.493;11.023;164;306;1.536;87.686;28.182;44.340;12.449;2.715;3.538;14.522;1.793;34;6.377;29.580;687;296;6.394;1.886;3.400;86;391;104;222;304;1;9.646;265;6.817;2.564;617;16.953;116.132;910;20.102
;;09678 SCHWEINFURT;10.272;9.856;146;270;1.488;79.714;25.146;40.167;11.497;2.904;3.452;10.598;2.205;12;3.594;28.280;683;108;4.727;1.426;2.483;38;238;76;129;336;1;7.692;693;5.221;1.778;586;13.113;103.099;884;19.487
;;09679 WUERZBURG;14.125;13.680;175;270;1.956;109.428;37.055;52.864;15.048;4.461;5.443;14.640;2.474;3;8.106;38.718;660;45;7.064;2.252;3.618;67;320;109;209;489;-;8.488;322;6.510;1.656;624;16.221;139.774;842;19.957
;RB ZUSAMMEN;;103.363;99.483;1.336;2.544;14.363;876.502;284.565;437.654;122.813;31.470;39.666;128.823;18.512;354;84.230;300.631;655;1.572;64.637;19.655;34.112;747;3.797;1.169;1.876;3.262;19;72.093;3.605;52.175;16.313;6.499;144.801;1.124.666;840;177.621
;RB SCHWABEN;09761 AUGSBURG,STADT;13.582;13.233;247;102;1.847;141.783;49.593;67.345;20.656;4.189;5.991;20.476;2.750;70;20.897;45.476;468;341;9.628;3.188;5.102;101;458;193;262;318;6;1.438;213;1.034;191;848;12.255;167.620;553;12.597
;;09762 KAUFBEUREN,STADT;2.820;2.736;59;25;431;26.887;10.396;12.076;3.603;812;1.003;4.226;723;1;2.870;9.094;580;47;1.459;444;803;16;34;25;59;76;2;437;27;338;72;90;2.033;31.740;684;3.626
;;09763 KEMPTEN(ALLGAEU),STADT;4.197;4.076;77;44;599;41.021;14.901;18.987;5.253;1.880;1.511;7.627;1.109;50;7.105;13.154;580;87;2.850;888;1.491;10;106;71;83;201;-;1.059;129;796;134;563;4.559;49.777;704;4.767
;;09764 MEMMINGEN,STADT;2.563;2.483;41;39;366;27.904;9.760;13.397;3.869;878;1.235;4.211;512;15;4.432;8.826;604;12;1.814;471;982;12;109;25;56;158;1;881;154;598;129;158;2.865;33.332;722;3.842
;;09771 AICHACH-FRIEDBERG;14.800;14.274;265;261;2.123;91.131;29.500;44.010;14.256;3.365;4.824;14.140;2.200;23;7.644;30.742;657;170;7.709;2.294;4.057;87;496;189;215;368;3;9.412;332;7.149;1.931;643;17.934;123.865;894;21.256
;;09772 AUGSBURG;23.732;22.966;413;353;3.354;173.990;59.880;81.289;26.614;6.207;9.389;26.810;4.298;45;15.166;61.531;660;263;13.181;3.712;6.941;75;581;333;748;789;2;12.796;806;9.169;2.821;1.029;27.269;224.991;854;36.108
;;09773 DILLINGEN A.D.DONAU;9.542;9.175;139;228;1.338;68.853;21.955;34.503;10.572;1.823;3.140;10.893;1.193;20;5.242;23.572;688;45;5.063;1.514;2.652;41;233;96;199;328;-;9.383;408;6.938;2.037;519;15.010;93.405;933;19.698
;;09774 GUENZBURG;11.878;11.380;143;355;1.791;89.358;29.557;44.300;12.522;2.979;4.032;13.769;1.556;26;10.002;30.494;680;167;7.113;2.051;3.873;46;337;128;203;471;4;10.054;586;6.988;2.480;803;18.137;119.373;909;23.239
;;09775 NEU-ULM;15.159;14.767;180;212;2.329;115.387;40.900;54.070;16.766;3.651;5.739;16.770;2.473;36;10.962;40.106;632;168;7.479;2.065;3.891;64;454;275;178;550;2;6.611;673;4.303;1.635;609;14.867;145.413;796;22.659
;;09776 LINDAU (BODENSEE);9.198;8.981;109;108;1.324;54.514;19.361;25.233;8.125;1.795;2.720;11.893;1.765;11;5.540;19.186;652;70;3.674;1.228;1.975;32;133;32;84;186;4;5.071;68;3.888;1.115;286;9.101;72.813;870;9.926
;;09777 OSTALLGAEU;14.891;14.161;305;425;2.223;97.232;34.950;45.507;13.408;3.367;3.890;19.944;3.039;29;8.582;32.464;665;67;6.960;2.127;3.927;51;231;69;147;400;8;16.950;443;13.319;3.188;685;24.662;136.785;935;25.471
;;09778 UNTERALLGAEU;15.479;14.762;254;463;2.183;105.439;36.732;50.880;14.568;3.259;4.774;16.306;2.108;32;9.810;34.466;694;130;7.773;2.023;4.477;47;311;89;190;632;4;16.389;358;12.436;3.595;828;25.120;146.038;962;27.135
;;09779 DONAU-RIES;12.936;12.412;186;338;1.744;96.144;30.464;48.787;13.798;3.095;3.779;14.519;1.861;27;8.940;30.766;697;150;6.829;2.070;3.617;53;316;126;187;457;3;14.215;561;10.877;2.777;832;22.026;131.106;950;26.007
;;09780 OBERALLGAEU;16.453;15.894;236;323;2.396;105.785;39.067;49.435;13.586;3.697;4.095;27.571;3.658;7;10.920;36.348;663;253;7.958;2.496;4.376;85;283;103;197;414;4;13.106;250;10.759;2.097;753;22.070;144.308;904;23.351
;RB ZUSAMMEN;;167.230;161.300;2.654;3.276;24.048;1.235.428;427.016;589.819;177.596;40.997;56.122;209.155;29.245;392;128.112;416.225;630;1.970;89.490;26.571;48.164;720;4.082;1.754;2.808;5.348;43;117.802;5.008;88.592;24.202;8.646;217.908;1.620.566;826;259.682
BAYERN INSGESAMT;;;1.079.282;1.039.862;15.128;24.292;150.089;8.413.688;2.728.020;4.143.058;1.223.060;319.550;391.823;1.490.488;181.107;3.105;1.082.202;2.765.585;626;14.820;607.223;190.959;324.895;5.127;27.230;10.659;16.152;31.955;246;730.213;33.811;557.180;139.222;62.291;1.414.547;10.907.517;812;1.554.994
BERLIN                     ;;11000  BERLIN                           ;121.743;119.260;1.702;781;16.588;1.232.689;469.746;551.693;168.893;42.357;45.663;156.602;20.008;1.329;185.675;414.912;326;2.432;118.766;45.458;56.020;1.818;4.751;2.985;2.667;5.030;37;7.122;3.303;3.492;327;9.594;137.914;1.492.346;395;101.841
BERLIN INSGESAMT;;;121.743;119.260;1.702;781;16.588;1.232.689;469.746;551.693;168.893;42.357;45.663;156.602;20.008;1.329;185.675;414.912;326;2.432;118.766;45.458;56.020;1.818;4.751;2.985;2.667;5.030;37;7.122;3.303;3.492;327;9.594;137.914;1.492.346;395;101.841
BRANDENBURG;;12051 BRANDENBURG/HAVEL,STADT;2.735;2.678;15;42;354;35.064;14.272;16.179;3.848;765;713;3.824;578;10;3.380;12.827;474;44;3.273;1.428;1.478;84;97;27;48;111;-;462;180;270;12;268;4.047;41.846;566;7.655
;;12052 COTTBUS, STADT;3.813;3.749;18;46;402;48.574;18.986;23.406;5.373;809;843;5.382;550;33;5.525;18.105;486;157;4.644;1.993;2.132;99;149;75;84;110;2;778;169;546;63;411;5.990;58.377;584;8.302
;;12053 FRANKFURT/ODER,STADT;2.220;2.179;16;25;264;28.281;11.653;13.296;2.895;437;480;3.283;287;26;3.162;10.476;481;36;3.682;1.135;2.126;120;74;26;100;100;1;644;228;385;31;287;4.649;35.150;598;4.401
;;12054 POTSDAM,STADT;6.470;6.361;59;50;920;77.194;30.324;35.302;9.333;2.235;2.366;9.330;1.421;28;9.137;27.862;413;166;5.887;2.522;2.827;64;196;53;72;150;3;480;92;374;14;465;6.998;90.662;485;8.465
;;12060 BARNIM;13.508;13.216;130;162;1.896;112.138;43.566;51.603;14.183;2.786;2.670;14.063;2.377;51;6.978;44.236;581;245;11.381;4.609;5.589;184;384;148;180;283;4;2.723;553;2.008;162;765;15.114;140.760;729;27.773
;;12061 DAHME-SPREEWALD;12.451;12.155;117;179;1.838;110.731;41.410;52.246;14.191;2.884;2.893;14.406;1.872;48;10.206;43.283;614;204;12.348;4.676;6.067;267;529;175;271;363;-;4.672;766;3.546;360;956;18.180;141.362;784;30.777
;;12062 ELBE-ELSTER;6.823;6.580;40;203;860;63.711;23.469;32.465;7.015;762;1.069;7.622;719;34;4.684;24.386;638;133;7.650;3.153;3.636;213;212;100;151;182;3;5.213;254;4.512;447;710;13.706;84.240;843;20.866
;;12063 HAVELLAND;11.437;11.143;134;160;1.718;99.088;38.324;45.084;12.854;2.826;3.031;12.703;1.986;38;6.172;38.938;581;150;9.968;3.776;4.888;180;294;180;218;429;3;2.687;412;2.146;129;900;13.705;124.230;728;26.959
;;12064 MAERKISCH-ODERLAND;15.044;14.673;156;215;2.209;122.737;47.131;57.704;15.240;2.662;2.714;15.351;2.290;43;9.160;48.065;610;164;14.290;5.559;6.823;257;473;199;267;706;6;4.087;553;3.337;197;1.143;19.684;157.465;783;31.721
;;12065 OBERHAVEL;15.768;15.419;166;183;2.339;127.835;49.802;58.061;16.507;3.465;3.863;15.661;2.501;48;8.026;50.695;584;135;12.939;5.240;6.102;231;432;179;281;471;3;3.333;691;2.447;195;873;17.280;160.883;735;31.656
;;12066 OBERSPREEWALD-LAUSITZ;6.680;6.493;42;145;787;65.392;24.591;33.091;6.926;784;1.017;7.298;775;38;5.493;25.243;608;43;6.862;2.735;3.241;149;224;93;175;239;6;3.284;315;2.588;381;702;10.891;82.963;771;19.178
;;12067 ODER-SPREE;11.334;11.068;87;179;1.578;110.424;43.084;51.668;13.298;2.374;2.472;14.544;1.963;62;7.949;43.936;604;149;11.831;4.645;5.894;199;354;136;195;403;5;4.299;578;3.475;246;959;17.238;138.996;760;29.132
;;12068 OSTPRIGNITZ-RUPPIN;6.406;6.188;31;187;871;59.508;22.714;28.776;7.080;938;1.156;7.488;1.126;34;5.231;23.359;596;139;7.537;3.184;3.539;152;198;87;167;210;-;3.657;202;3.204;251;736;12.069;77.983;780;23.253
;;12069 POTSDAM-MITTELMARK;14.993;14.588;123;282;2.067;134.754;50.286;62.619;17.596;4.253;4.827;17.879;2.749;62;10.271;52.574;603;287;14.325;5.664;7.157;232;490;190;238;352;2;5.327;504;4.430;393;1.276;21.215;170.962;765;33.462
;;12070 PRIGNITZ;4.196;4.034;26;136;512;46.130;16.462;23.279;5.810;579;809;6.143;821;26;4.520;17.642;608;100;6.021;2.528;2.954;70;184;59;87;133;6;3.837;267;3.373;197;656;10.614;60.940;804;17.247
;;12071 SPREE-NEISSE;7.765;7.549;51;165;944;71.289;26.977;34.843;8.539;930;1.355;8.876;901;44;4.745;28.329;637;104;8.239;3.278;3.822;229;288;128;185;302;7;4.155;455;3.335;365;795;13.293;92.347;825;22.207
;;12072 TELTOW-FLAEMING;13.135;12.821;129;185;1.870;110.695;42.937;51.376;13.338;3.044;3.132;13.742;1.814;51;10.457;42.239;620;183;12.907;4.745;6.199;246;454;316;353;589;5;4.139;1.012;2.850;277;1.864;19.093;142.923;801;27.117
;;12073 UCKERMARK;7.541;7.317;39;185;1.070;68.643;26.072;33.855;7.708;1.008;1.058;9.144;919;51;4.763;25.654;583;170;7.677;3.296;3.537;123;190;101;137;286;7;4.563;426;3.953;184;891;13.301;89.485;760;22.090
BRANDENBURG INSGESAMT;;;162.319;158.211;1.379;2.729;22.499;1.492.188;572.060;704.853;181.734;33.541;36.468;186.739;25.649;727;119.859;577.849;578;2.609;161.461;64.166;78.011;3.099;5.222;2.272;3.209;5.419;63;58.340;7.657;46.779;3.904;14.657;237.067;1.891.574;733;392.261
BREMEN                    ;;04011 BREMEN, STADT;17.708;17.343;199;166;2.223;248.228;90.385;115.750;34.954;7.139;9.758;29.813;5.308;108;35.688;81.450;430;391;17.162;6.477;8.434;231;597;412;464;541;6;3.209;1.803;1.115;291;1.968;22.730;288.666;500;30.704
;;04012 BREMERHAVEN,STADT;3.438;3.343;50;45;431;52.757;21.146;23.579;6.799;1.233;1.699;5.412;850;52;6.277;17.837;460;101;3.901;1.351;2.032;29;233;47;59;149;1;569;345;201;23;332;4.903;61.098;533;6.661
BREMEN INSGESAMT;;;21.146;20.686;249;211;2.654;300.985;111.531;139.329;41.753;8.372;11.457;35.225;6.158;160;41.965;99.287;435;492;21.063;7.828;10.466;260;830;459;523;690;7;3.778;2.148;1.316;314;2.300;27.633;349.764;506;37.365
HAMBURG                          ;;02000 HAMBURG;61.084;59.976;603;505;8.037;810.635;286.819;368.440;119.626;35.750;43.236;113.508;19.643;709;171.780;253.008;424;2.601;67.036;24.525;34.068;842;2.692;1.632;1.320;1.945;12;8.312;3.776;4.139;397;5.756;83.705;955.424;500;78.386
HAMBURG INSGESAMT;;;61.084;59.976;603;505;8.037;810.635;286.819;368.440;119.626;35.750;43.236;113.508;19.643;709;171.780;253.008;424;2.601;67.036;24.525;34.068;842;2.692;1.632;1.320;1.945;12;8.312;3.776;4.139;397;5.756;83.705;955.424;500;78.386
HESSEN;RB DARMSTADT;06411 DARMSTADT,STADT;5.707;5.570;85;52;723;73.790;25.740;35.079;9.653;3.318;3.537;9.520;1.337;42;13.037;24.144;448;154;4.693;1.704;2.448;44;224;75;76;122;-;675;133;479;63;390;5.912;85.409;518;4.936
;;06412 FRANKFURT AM MAIN,STADT;25.095;24.402;473;220;3.227;346.011;105.157;174.655;49.861;16.338;15.866;61.892;2.978;323;98.929;94.713;446;742;27.945;10.746;14.918;289;903;266;374;443;6;2.012;461;1.311;240;2.654;33.353;404.459;521;16.437
;;06413 OFFENBACH AM MAIN,STADT;4.439;4.301;99;39;592;60.950;19.429;30.027;8.970;2.524;2.398;9.149;500;40;11.483;18.220;450;83;4.285;1.495;2.277;32;156;61;61;201;2;460;306;133;21;201;5.029;70.418;520;3.733
;;06414 WIESBADEN,STADT;12.463;12.120;208;135;1.682;224.004;80.200;99.400;26.127;18.277;9.131;33.288;9.608;131;101.586;48.912;785;302;22.907;7.693;13.335;186;578;193;329;590;3;2.819;1.250;1.240;329;3.452;29.480;265.947;931;16.355
;;06431 BERGSTRASSE;19.680;19.130;301;249;2.694;178.843;62.744;83.471;26.528;6.100;10.353;27.118;3.436;78;15.716;65.363;647;280;12.483;4.157;6.508;132;742;256;227;457;4;6.675;601;4.876;1.198;1.119;20.557;219.080;793;25.164
;;06432 DARMSTADT-DIEBURG;20.591;20.038;310;243;2.891;191.514;68.791;89.062;26.813;6.848;10.085;25.866;3.603;48;16.338;70.448;635;139;12.808;4.089;6.669;133;845;358;309;403;2;6.032;932;4.092;1.008;832;19.811;231.916;768;25.654
;;06433 GROSS-GERAU;15.857;15.385;276;196;2.135;167.720;61.937;77.035;22.670;6.078;7.311;21.214;2.261;46;25.388;54.197;595;363;13.814;3.663;7.826;102;696;312;685;525;5;3.335;861;2.082;392;797;18.309;201.886;717;17.856
;;06434 HOCHTAUNUSKREIS;13.457;13.112;176;169;1.837;165.836;51.831;81.465;25.688;6.852;11.606;31.868;2.094;59;32.425;53.680;687;57;10.517;3.158;5.936;87;519;65;226;523;3;3.534;415;2.276;843;701;14.809;194.102;804;13.952
;;06435 MAIN-KINZIG-KREIS;26.346;25.364;475;507;3.498;268.759;94.203;129.064;37.765;7.727;12.865;38.696;4.255;107;22.359;96.465;619;312;18.959;6.218;9.800;207;1.076;389;456;811;2;10.725;985;7.954;1.786;1.654;31.650;326.755;753;36.494
;;06436 MAIN-TAUNUS-KREIS;13.430;13.132;192;106;1.753;184.781;65.332;89.981;23.385;6.083;9.643;27.212;2.868;27;49.404;53.951;759;181;12.719;4.105;7.437;306;383;105;121;261;1;2.146;214;1.519;413;739;15.785;213.996;880;10.962
;;06437 ODENWALDKREIS;6.691;6.408;92;191;939;64.185;22.968;30.007;9.397;1.813;3.123;10.889;1.360;35;4.043;23.258;660;223;4.186;1.360;2.277;42;239;78;66;123;1;4.549;80;3.361;1.108;504;9.462;80.338;827;12.552
;;06438 OFFENBACH;20.064;19.540;376;148;2.665;220.835;76.442;106.059;31.607;6.727;12.140;31.195;2.861;57;27.886;78.363;606;167;14.398;5.271;7.410;173;669;270;299;304;2;2.322;529;1.447;346;845;17.732;258.631;710;17.981
;;06439 RHEINGAU-TAUNUS-KREIS;14.040;13.597;168;275;1.941;124.045;44.565;57.139;17.754;4.587;8.022;20.626;2.253;49;7.981;46.553;653;87;7.072;2.710;3.633;62;289;74;90;212;2;5.521;112;4.283;1.126;798;13.478;151.563;798;17.393
;;06440 WETTERAUKREIS;19.221;18.595;286;340;2.742;199.295;68.025;96.549;28.150;6.571;9.912;29.792;3.241;46;16.939;72.733;626;244;13.406;4.624;6.914;147;685;185;264;585;2;9.388;489;6.741;2.158;1.137;24.175;242.691;762;29.628
;RB ZUSAMMEN;;217.081;210.694;3.517;2.870;29.319;2.470.568;847.364;1.178.993;344.368;99.843;125.992;378.325;42.655;1.088;443.514;801.000;601;3.334;180.192;60.993;97.388;1.942;8.004;2.687;3.583;5.560;35;60.193;7.368;41.794;11.031;15.823;259.542;2.947.191;717;249.097
;RB GIESSEN;06531 GIESSEN;14.675;14.180;184;311;2.102;159.847;55.162;77.623;21.770;5.292;7.286;21.834;2.912;68;14.333;58.628;570;325;11.809;3.703;6.299;113;551;154;304;678;7;6.619;784;4.576;1.259;1.042;19.795;194.317;693;23.897
;;06532 LAHN-DILL-KREIS;16.827;16.279;225;323;2.078;168.208;59.380;80.700;23.201;4.927;8.060;27.103;2.951;44;13.957;59.795;651;214;11.150;3.541;5.986;89;590;265;284;392;3;7.645;611;5.038;1.996;950;19.959;204.994;793;28.467
