;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraftomni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahrzeug-
anh‰nger"
;;08221 HEIDELBERG,STADT;5.236;5.094;82;60;687;61.272;19.447;29.729;9.589;2.507;3.934;9.349;1.329;58;11.260;21.232;376;99;3.870;1.630;1.874;48;165;42;43;68;-;714;62;557;95;411;5.094;71.602;439;4.564
;;08222 MANNHEIM,STADT;13.288;12.816;300;172;1.685;158.974;52.568;77.712;22.906;5.788;7.570;21.946;1.946;120;30.962;49.835;502;176;13.931;4.787;7.079;117;804;244;382;513;5;1.432;660;649;123;1.256;16.795;189.057;597;13.012
;;08225 NECKAR-ODENWALD-KREIS;10.915;10.451;123;341;1.447;98.349;33.417;49.106;13.060;2.766;4.397;15.795;1.793;49;8.855;33.457;673;99;6.303;1.963;3.312;56;321;106;181;357;7;8.856;237;6.738;1.881;590;15.848;125.112;857;23.618
;;08226 RHEIN-NECKAR-KREIS;35.615;34.733;478;404;5.095;364.131;123.876;172.538;50.696;17.021;20.525;51.769;6.474;33;51.932;129.279;654;175;21.598;7.352;11.481;169;1.128;325;421;713;9;10.399;847;7.101;2.451;1.629;33.801;433.547;779;44.244
;;08231 PFORZHEIM,STADT;5.100;4.918;100;82;664;64.113;21.884;30.211;9.855;2.163;3.177;9.742;800;59;8.689;20.359;497;98;3.874;1.301;2.061;35;187;82;59;147;2;617;77;440;100;314;4.903;74.116;575;6.181
;;08235 CALW;12.606;12.244;172;190;1.884;111.300;37.090;52.673;16.496;5.041;5.288;17.466;2.416;48;11.842;36.887;679;162;8.214;2.259;4.182;73;776;260;248;412;4;7.566;503;4.664;2.399;685;16.627;140.533;858;23.156
;;08236 ENZKREIS;17.035;16.628;205;202;2.432;137.668;48.084;63.234;21.271;5.079;7.808;20.286;3.058;1;12.801;48.647;677;100;8.213;2.900;4.186;61;408;105;175;373;5;6.673;648;4.050;1.975;515;15.501;170.204;837;27.642
;;08237 FREUDENSTADT;9.710;9.426;110;174;1.249;81.893;26.966;40.687;11.645;2.595;3.853;16.497;1.673;37;8.947;26.150;674;203;5.074;1.451;2.668;53;317;94;131;359;1;7.032;256;4.577;2.199;493;12.802;104.405;859;17.625
;RB ZUSAMMEN;;175.645;170.737;2.615;2.293;24.337;1.701.092;575.169;809.466;249.140;67.317;89.041;251.969;31.868;619;221.351;581.107;595;1.858;113.001;38.286;58.030;993;6.355;1.961;2.730;4.596;50;65.357;6.010;41.696;17.651;9.417;189.633;2.066.370;723;262.523
;RB FREIBURG;08311 FREIBURG I.BREISG.STADT;9.236;9.022;148;66;1.348;95.631;30.981;46.023;14.489;4.138;4.564;12.736;3.824;104;17.597;31.836;403;372;7.479;2.766;3.823;85;331;103;206;165;-;1.482;111;1.129;242;525;9.858;114.725;484;8.282
