;;;Krafträder;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anhänger"
;RB ZUSAMMEN;;101.165;96.043;1.073;4.049;13.255;733.235;252.110;376.162;96.255;8.708;28.010;109.548;9.260;295;73.232;236.720;659;1.504;51.786;16.644;25.728;443;3.041;1.268;1.494;3.147;21;91.076;4.559;67.606;18.911;5.887;150.253;984.653;885;158.617
;RB OBERFRANKEN                   ;09461  BAMBERG,STADT;4.595;4.496;40;59;662;41.052;14.388;20.290;5.742;632;1.863;4.687;730;47;7.437;13.764;535;79;3.193;1.084;1.396;27;219;122;139;203;3;1.036;548;378;110;909;5.217;50.864;663;4.878
;;09462  BAYREUTH,STADT;3.463;3.324;57;82;532;40.242;14.649;19.780;5.194;619;1.685;5.375;541;39;7.537;13.523;543;71;3.101;1.054;1.458;34;157;76;163;158;1;790;159;515;116;566;4.528;48.233;651;4.048
;;09463  COBURG,STADT;2.539;2.484;18;37;331;25.074;9.067;12.250;3.382;375;1.318;3.340;306;31;4.114;8.484;614;58;1.561;548;813;37;62;21;42;37;1;360;31;253;76;179;2.158;29.771;729;2.625
;;09464  HOF,STADT;2.290;2.225;20;45;311;25.800;11.088;11.416;2.992;304;945;3.105;283;33;3.548;8.811;571;56;1.664;544;744;18;88;49;88;132;1;709;179;453;77;262;2.691;30.781;681;3.446
;;09471  BAMBERG;14.137;13.623;124;390;2.060;103.030;35.702;52.441;13.677;1.210;4.297;12.458;1.662;1;6.529;36.311;699;138;7.041;2.185;3.208;57;405;118;132;933;3;11.935;422;8.724;2.789;541;19.655;136.822;928;21.452
;;09472  BAYREUTH;10.312;9.631;97;584;1.496;72.372;27.012;35.797;8.774;789;2.992;10.972;980;4;4.261;25.537;698;188;4.310;1.482;2.045;56;218;82;129;292;6;12.130;245;8.713;3.172;741;17.369;100.053;965;15.302
;;09473  COBURG;7.200;6.929;83;188;1.002;59.649;23.033;28.664;7.252;700;2.630;7.577;685;-;4.089;21.707;689;25;3.549;1.186;1.700;61;225;78;112;183;4;5.229;378;3.564;1.287;337;9.140;75.989;878;11.889
;;09474  FORCHHEIM;10.714;10.288;91;335;1.520;79.040;28.228;39.070;10.711;1.031;3.774;11.195;1.424;21;4.592;28.403;678;234;4.431;1.546;2.196;36;261;94;103;195;-;9.213;244;6.931;2.038;476;14.354;104.108;893;13.732
;;09475  HOF;7.497;7.216;76;205;1.018;64.310;26.163;30.031;7.492;624;2.498;9.720;730;5;5.118;22.786;680;91;4.479;1.495;1.936;51;173;116;265;442;1;7.079;342;5.153;1.584;634;12.283;84.090;890;14.725
;;09476  KRONACH;5.987;5.678;55;254;714;45.909;17.970;22.262;5.274;403;1.894;7.575;399;19;3.996;15.832;692;49;2.908;903;1.347;55;168;77;132;224;2;4.998;289;3.575;1.134;432;8.387;60.283;908;10.338
;;09477  KULMBACH;6.231;5.999;42;190;925;50.247;18.622;24.650;6.417;558;2.175;7.193;670;16;4.944;18.074;703;81;3.447;1.177;1.730;48;154;49;78;210;1;5.936;267;4.152;1.517;313;9.777;66.255;928;10.821
;;09478  LICHTENFELS;5.986;5.775;64;147;820;45.295;16.462;22.491;5.888;454;1.938;5.631;530;19;3.722;15.843;679;79;3.294;1.042;1.586;52;205;96;139;171;3;5.351;210;3.845;1.296;342;9.066;60.347;904;9.660
;;09479  WUNSIEDEL I.FICHTELGEB.;5.884;5.643;63;178;810;47.495;19.165;22.313;5.579;438;1.764;6.881;596;21;4.155;16.937;660;70;2.626;992;1.269;37;110;34;82;101;1;4.196;129;3.056;1.011;335;7.227;60.606;842;9.319
;RB ZUSAMMEN;;86.835;83.311;830;2.694;12.201;699.515;261.549;341.455;88.374;8.137;29.773;95.709;9.536;256;64.042;246.012;659;1.219;45.604;15.238;21.428;569;2.445;1.012;1.604;3.281;27;68.962;3.443;49.312;16.207;6.067;121.852;908.202;855;132.235
;RB MITTELFRANKEN                 ;09561  ANSBACH,STADT;2.575;2.498;36;41;440;25.653;8.707;13.009;3.612;325;1.026;3.158;387;45;3.495;8.733;615;27;1.497;429;756;20;80;61;66;84;1;1.242;83;891;268;176;2.942;31.170;748;3.547
;;09562  ERLANGEN,STADT;5.351;5.229;66;56;764;56.024;19.312;27.469;8.421;822;2.508;6.924;1.202;62;6.629;18.799;499;73;2.828;1.212;1.243;29;153;36;58;97;-;836;57;591;188;313;4.050;65.425;582;4.803
;;09563  FUERTH,STADT;6.269;6.087;99;83;892;64.475;23.475;30.587;9.606;807;3.288;8.011;1.047;59;6.993;22.780;503;142;4.191;1.484;2.124;33;225;143;76;105;1;871;205;587;79;300;5.504;76.248;595;5.876
;;09564  NUERNBERG,STADT;23.104;22.478;338;288;3.204;247.825;82.640;123.482;38.940;2.763;12.018;32.845;3.860;112;38.653;80.760;481;639;19.602;6.564;9.291;186;1.275;601;667;1.015;3;3.512;1.386;1.796;330;1.432;25.185;296.114;574;22.844
;;09565  SCHWABACH,STADT;2.898;2.813;46;39;440;26.499;9.395;12.790;3.885;429;1.449;3.446;484;1;3.233;9.515;645;23;1.574;531;842;15;68;36;27;53;2;530;45;350;135;134;2.261;31.658;771;2.915
;;09571  ANSBACH;17.276;16.518;205;553;2.486;128.094;42.237;67.214;17.188;1.455;5.221;15.003;2.095;-;8.850;43.022;691;212;8.710;2.701;4.396;92;487;174;240;618;2;23.016;620;16.529;5.867;1.046;32.984;178.354;962;31.006
;;09572  ERLANGEN-HOECHSTADT;10.357;10.035;116;206;1.490;93.138;30.835;46.796;13.944;1.563;4.784;12.768;1.884;4;7.842;33.180;674;133;4.464;1.546;2.200;46;244;73;102;251;2;5.859;385;3.917;1.557;412;10.868;114.363;828;14.300
;;09573  FUERTH;9.748;9.441;119;188;1.446;78.238;29.136;36.627;11.462;1.013;4.438;9.772;1.487;2;4.259;29.858;659;38;4.705;1.580;2.422;46;296;111;107;142;1;3.558;139;2.817;602;329;8.630;96.616;814;10.787
;;09574  NUERNBERGER LAND;14.373;13.960;139;274;2.159;112.370;39.338;55.159;16.335;1.538;5.891;16.034;2.293;42;10.157;40.579;657;73;6.737;2.370;3.365;90;318;123;148;319;4;8.330;359;5.802;2.169;618;15.758;142.501;833;17.308
;;09575  NEUSTADT/AISCH-WINDSHEIM;8.825;8.341;84;400;1.238;68.931;21.939;36.338;9.698;956;2.802;8.948;1.160;27;4.692;23.553;681;97;4.840;1.644;2.276;63;324;84;144;303;2;12.380;275;9.222;2.883;498;17.815;95.571;944;16.472
;;09576  ROTH;12.335;11.899;108;328;1.763;88.121;30.086;44.190;12.777;1.068;4.242;11.606;1.694;32;7.517;30.683;693;141;6.415;1.902;3.326;45;341;172;213;411;5;9.670;749;6.581;2.340;624;16.850;117.306;922;17.872
;;09577  WEISSENBURG-GUNZENHAUSEN;8.414;7.973;93;348;1.210;63.598;21.733;32.097;8.941;827;2.578;8.638;1.226;28;5.077;21.144;669;114;3.938;1.259;1.974;47;217;53;127;261;-;10.564;322;7.525;2.717;501;15.117;87.129;916;15.148
;RB ZUSAMMEN;;121.525;117.272;1.449;2.804;17.532;1.052.966;358.833;525.758;154.809;13.566;50.245;137.153;18.819;414;107.397;362.606;593;1.712;69.501;23.222;34.215;712;4.028;1.667;1.975;3.659;23;80.368;4.625;56.608;19.135;6.383;157.964;1.332.455;750;162.878
;RB UNTERFRANKEN                  ;09661  ASCHAFFENBURG,STADT;3.628;3.528;53;47;447;43.157;15.118;20.757;6.575;707;2.343;5.560;570;55;7.249;14.360;609;103;3.862;1.154;2.036;47;219;96;140;168;2;507;97;281;129;276;4.748;51.533;727;4.182
;;09662  SCHWEINFURT,STADT;2.167;2.113;25;29;277;29.489;8.957;15.377;4.763;392;1.122;3.812;451;38;5.103;8.917;553;44;2.009;743;902;21;124;56;52;111;-;385;183;176;26;249;2.687;34.343;644;3.364
;;09663  WUERZBURG,STADT;6.170;6.003;90;77;824;64.743;21.560;32.246;9.863;1.074;3.416;8.077;1.060;67;11.429;21.336;510;101;5.951;1.725;2.915;125;719;149;119;198;1;913;175;624;114;759;7.724;78.637;619;6.474
;;09671  ASCHAFFENBURG;12.680;12.270;175;235;1.677;119.210;40.919;58.781;17.905;1.605;6.813;17.635;1.771;-;10.156;41.762;683;141;8.564;2.841;4.365;99;467;173;212;407;-;5.857;380;3.879;1.598;660;15.222;147.112;842;21.237
;;09672  BAD KISSINGEN;8.445;8.082;72;291;1.154;71.609;23.147;36.896;10.727;839;2.811;9.911;1.497;43;5.584;24.306;694;140;4.933;1.424;2.771;56;256;68;103;252;3;8.827;297;6.168;2.362;554;14.454;94.508;916;16.923
;;09673  RHOEN-GRABFELD;6.946;6.530;57;359;987;55.300;16.742;30.071;7.485;1.002;1.830;8.042;979;25;4.738;18.693;696;93;3.625;1.055;1.808;48;288;103;104;219;-;7.552;122;6.159;1.271;467;11.737;73.983;930;14.892
;;09674  HASSBERGE;7.640;7.227;56;357;1.046;59.309;18.749;31.797;7.989;774;2.226;7.377;1.101;19;4.017;19.996;704;105;3.876;1.157;2.045;55;269;71;102;175;2;8.186;243;5.793;2.150;474;12.641;79.590;944;14.473
;;09675  KITZINGEN;7.722;7.364;67;291;1.099;62.562;19.809;32.710;9.240;803;2.957;7.293;932;27;5.038;21.451;682;169;4.366;1.431;2.087;75;282;91;119;281;-;7.608;478;5.718;1.412;523;12.666;82.950;905;13.197
;;09676  MILTENBERG;8.837;8.468;120;249;1.174;87.479;29.272;44.987;12.408;812;4.211;12.136;1.339;33;9.066;29.757;679;120;6.610;1.981;3.573;83;396;160;120;296;1;5.256;191;3.441;1.624;478;12.464;108.780;845;16.962
;;09677  MAIN-SPESSART;10.921;10.438;139;344;1.448;86.495;27.984;44.755;12.812;944;3.603;13.244;1.449;36;5.912;28.890;687;224;5.912;1.763;2.986;93;421;120;224;302;3;9.461;292;6.484;2.685;587;16.184;113.600;902;19.168
;;09678  SCHWEINFURT;10.027;9.587;121;319;1.458;79.252;25.323;40.922;11.927;1.080;3.601;9.483;1.755;11;3.177;27.836;685;138;4.311;1.304;2.168;45;265;90;116;323;-;7.589;722;5.013;1.854;538;12.576;101.855;881;18.526
;;09679  WUERZBURG;13.389;12.965;141;283;1.835;108.093;36.957;54.190;15.285;1.661;5.606;13.133;1.971;3;7.690;37.985;664;44;6.524;2.111;3.212;78;348;118;194;462;1;8.375;322;6.319;1.734;591;15.534;137.016;842;18.860
;RB ZUSAMMEN;;98.572;94.575;1.116;2.881;13.426;866.698;284.537;443.489;126.979;11.693;40.539;115.703;14.875;357;79.159;295.289;658;1.422;60.543;18.689;30.868;825;4.054;1.295;1.605;3.194;13;70.516;3.502;50.055;16.959;6.156;138.637;1.103.907;838;168.258
;RB SCHWABEN                      ;09761  AUGSBURG,STADT;12.815;12.479;207;129;1.737;140.439;49.536;67.887;21.471;1.545;6.188;17.774;2.354;74;19.924;45.190;475;325;8.914;3.042;4.543;106;477;210;215;316;5;1.390;243;957;190;777;11.406;164.660;557;12.086
;;09762  KAUFBEUREN,STADT;2.643;2.558;48;37;371;26.025;10.228;11.875;3.607;315;986;3.666;599;1;2.808;8.695;583;57;1.329;422;706;22;37;28;48;62;4;411;28;316;67;92;1.889;30.557;684;3.499
;;09763  KEMPTEN(ALLGAEU),STADT;4.020;3.924;45;51;546;40.131;15.027;18.989;5.471;644;1.511;6.885;867;48;6.541;12.946;582;75;2.536;795;1.248;16;116;85;87;189;-;999;87;764;148;464;4.074;48.225;700;4.490
;;09764  MEMMINGEN,STADT;2.432;2.366;29;37;345;27.212;9.678;13.210;3.971;353;1.231;3.589;406;15;4.247;8.638;613;16;1.672;428;862;12;121;29;61;159;-;838;140;566;132;157;2.683;32.327;729;3.816
;;09771  AICHACH-FRIEDBERG;13.619;13.133;193;293;1.898;89.057;29.354;43.914;14.592;1.197;4.871;12.564;1.782;21;7.122;29.903;660;176;7.095;2.165;3.524;93;554;202;201;350;6;9.114;363;6.751;2.000;627;17.012;119.688;886;20.122
;;09772  AUGSBURG;21.900;21.143;342;415;3.003;169.334;58.950;81.503;26.801;2.080;9.330;23.600;3.423;45;14.081;59.465;662;272;11.993;3.325;6.175;90;617;369;637;779;1;12.484;749;8.822;2.913;930;25.679;216.913;848;34.289
;;09773  DILLINGEN A.D.DONAU;8.695;8.327;109;259;1.163;66.810;21.545;34.034;10.569;662;3.098;9.587;933;19;4.877;22.632;688;46;4.690;1.407;2.355;44;255;104;206;319;-;9.100;424;6.565;2.111;473;14.309;89.814;924;18.550
;;09774  GUENZBURG;10.736;10.254;122;360;1.575;86.306;28.477;44.193;12.682;954;4.033;11.853;1.179;23;9.119;29.334;678;148;6.434;1.842;3.372;47;346;145;195;485;2;9.647;547;6.546;2.554;780;17.009;114.051;896;21.587
;;09775  NEU-ULM;13.752;13.388;131;233;2.034;112.354;40.535;53.369;17.174;1.276;5.801;14.504;1.913;34;10.393;39.076;639;143;6.945;1.944;3.486;74;474;264;179;523;1;6.367;669;4.061;1.637;592;14.047;140.153;797;21.565
;;09776  LINDAU (BODENSEE);8.665;8.462;85;118;1.205;53.376;19.227;25.175;8.285;689;2.659;10.950;1.361;10;5.283;18.619;650;52;3.324;1.164;1.670;35;139;44;99;170;3;4.996;90;3.741;1.165;283;8.655;70.696;861;9.439
;;09777  OSTALLGAEU;13.752;13.040;254;458;1.920;94.576;34.230;45.406;13.653;1.287;3.794;18.095;2.349;29;8.264;31.068;666;50;6.323;2.036;3.383;61;247;80;134;375;7;16.228;423;12.499;3.306;626;23.227;131.555;927;24.003
;;09778  UNTERALLGAEU;14.457;13.769;202;486;1.936;101.617;35.676;50.207;14.658;1.076;4.657;14.302;1.647;33;8.113;33.060;695;115;6.786;1.781;3.773;47;343;95;174;572;1;15.781;327;11.695;3.759;739;23.421;139.495;954;25.271
;;09779  DONAU-RIES;12.139;11.595;163;381;1.536;93.723;29.800;48.885;14.030;1.008;3.766;12.827;1.414;24;8.344;29.506;698;124;6.252;1.892;3.183;59;326;142;195;451;4;14.028;567;10.516;2.945;794;21.198;127.060;946;24.545
;;09780  OBERALLGAEU;15.518;14.978;192;348;2.163;103.738;39.066;49.353;13.947;1.372;4.105;25.853;2.875;9;9.820;35.443;664;245;7.119;2.281;3.752;76;288;131;175;414;2;12.534;256;10.043;2.235;715;20.613;139.869;895;21.994
;RB ZUSAMMEN;;155.143;149.416;2.122;3.605;21.432;1.204.698;421.329;588.000;180.911;14.458;56.030;186.049;23.102;385;118.936;403.575;632;1.844;81.412;24.524;42.032;782;4.340;1.928;2.606;5.164;36;113.917;4.913;83.842;25.162;8.049;205.222;1.565.063;821;245.256
BAYERN INSGESAMT;;;1.016.989;977.499;12.478;27.012;138.421;8.228.614;2.714.251;4.138.498;1.259.102;116.763;394.583;1.332.145;146.152;3.027;997.203;2.703.256;626;13.894;554.770;179.603;282.365;5.535;29.382;11.758;15.378;30.537;212;707.840;32.572;528.878;146.390;59.126;1.335.630;10.581.233;805;1.470.246
BERLIN                     ;;11000  BERLIN                           ;113.939;111.551;1.569;819;15.856;1.241.793;485.185;563.121;176.513;16.974;46.990;134.392;16.734;1.317;168.320;423.281;339;2.309;114.693;46.813;50.284;1.868;5.240;3.015;2.489;4.932;52;7.296;3.932;3.021;343;9.428;133.726;1.489.458;407;99.402
BERLIN INSGESAMT;;;113.939;111.551;1.569;819;15.856;1.241.793;485.185;563.121;176.513;16.974;46.990;134.392;16.734;1.317;168.320;423.281;339;2.309;114.693;46.813;50.284;1.868;5.240;3.015;2.489;4.932;52;7.296;3.932;3.021;343;9.428;133.726;1.489.458;407;99.402
BRANDENBURG;;12051  BRANDENBURG/HAVEL,STADT;2.514;2.450;9;55;285;35.077;14.299;16.483;3.928;367;756;3.342;437;8;3.339;12.665;487;40;3.118;1.399;1.327;93;92;30;54;123;-;446;171;261;14;264;3.868;41.459;575;6.993
;;12052  COTTBUS, STADT;3.473;3.399;12;62;347;49.062;19.099;24.131;5.514;318;852;4.761;406;30;5.422;18.153;497;123;4.555;2.044;1.982;96;153;75;83;122;-;760;187;505;68;411;5.849;58.384;592;8.141
;;12053  FRANKFURT/ODER,STADT;2.096;2.045;17;34;222;28.366;11.767;13.476;2.969;154;510;2.932;193;22;3.004;10.296;498;37;3.482;1.175;1.936;80;71;31;107;81;1;440;84;324;32;241;4.200;34.662;608;4.113
;;12054  POTSDAM,STADT;6.001;5.889;55;57;828;77.538;30.895;35.997;9.680;966;2.404;8.289;1.077;27;8.628;28.193;426;174;5.903;2.576;2.650;91;194;60;76;255;1;489;134;342;13;447;7.013;90.552;497;8.333
;;12060  BARNIM;12.154;11.842;113;199;1.642;108.875;43.000;51.013;13.848;1.014;2.591;12.170;1.766;58;6.275;42.456;581;195;10.740;4.543;4.949;224;390;179;179;273;3;2.495;457;1.880;158;720;14.150;135.179;722;26.152
;;12061  DAHME-SPREEWALD;11.211;10.941;85;185;1.560;107.311;40.968;51.297;14.057;989;2.831;12.163;1.430;46;9.282;41.507;619;208;11.610;4.625;5.334;304;523;224;250;350;-;4.517;813;3.344;360;937;17.272;135.794;784;28.987
;;12062  ELBE-ELSTER;6.366;6.092;28;246;758;63.445;23.564;32.584;7.000;297;1.052;6.324;549;37;3.949;23.950;628;128;6.985;3.036;3.052;231;212;113;150;190;1;4.933;297;4.176;460;697;12.743;82.554;817;19.343
;;12063  HAVELLAND;10.436;10.152;96;188;1.534;96.174;37.829;44.699;12.584;1.062;2.985;10.817;1.508;34;5.922;37.313;584;139;9.761;3.791;4.644;185;328;187;232;391;3;2.601;445;2.025;131;831;13.332;119.942;728;25.211
;;12064  MAERKISCH-ODERLAND;13.609;13.233;124;252;1.986;119.661;46.531;57.377;14.841;912;2.615;13.399;1.658;40;8.394;46.586;607;145;13.163;5.281;6.077;270;427;191;277;638;2;3.968;606;3.158;204;1.049;18.325;151.595;769;29.973
;;12065  OBERHAVEL;14.509;14.144;144;221;2.092;126.337;49.900;58.600;16.531;1.306;3.766;13.745;1.929;43;7.601;49.462;590;141;12.510;5.332;5.526;222;466;228;244;490;2;3.203;682;2.327;194;820;16.674;157.520;735;29.892
;;12066  OBERSPREEWALD-LAUSITZ;6.202;6.007;27;168;685;65.553;24.559;33.891;6.856;247;987;6.374;559;37;5.246;24.904;605;38;6.418;2.732;2.809;159;212;112;178;213;3;3.109;362;2.357;390;681;10.246;82.001;756;18.137
;;12067  ODER-SPREE;10.405;10.141;54;210;1.383;108.575;42.486;52.010;13.295;784;2.359;12.560;1.457;56;7.165;43.077;606;139;11.492;4.738;5.427;234;363;155;204;369;2;4.028;625;3.147;256;904;16.563;135.543;756;27.613
;;12068  OSTPRIGNITZ-RUPPIN;5.943;5.720;19;204;785;59.034;22.463;29.242;7.009;320;1.112;6.630;814;33;5.181;22.771;597;136;7.218;3.142;3.193;167;200;100;185;231;-;3.548;265;3.026;257;721;11.623;76.600;775;21.981
;;12069  POTSDAM-MITTELMARK;13.799;13.371;110;318;1.861;131.389;49.866;62.228;17.645;1.650;4.681;15.599;2.040;54;9.271;51.320;603;272;13.809;5.636;6.491;271;535;260;238;374;4;5.030;530;4.119;381;1.230;20.341;165.529;759;31.420
;;12070  PRIGNITZ;3.890;3.697;20;173;479;46.487;16.383;23.681;6.174;249;822;5.551;597;25;4.896;17.260;611;101;5.692;2.621;2.541;82;169;64;79;132;4;3.736;262;3.268;206;619;10.148;60.525;795;16.274
;;12071  SPREE-NEISSE;7.143;6.912;46;185;823;71.078;26.725;35.633;8.363;357;1.330;7.799;650;44;4.290;27.775;629;103;7.844;3.313;3.366;246;298;153;176;286;6;3.839;457;3.010;372;763;12.549;90.770;803;21.145
;;12072  TELTOW-FLAEMING;11.949;11.644;107;198;1.692;106.104;41.862;50.018;13.246;978;3.051;11.586;1.321;58;9.385;40.477;618;175;12.183;4.780;5.618;267;431;335;261;489;2;3.833;915;2.637;281;1.677;17.868;135.921;792;25.050
;;12073  UCKERMARK;6.955;6.704;30;221;951;68.585;26.020;34.475;7.736;354;1.023;8.124;671;47;4.575;25.185;580;172;7.072;3.165;3.057;141;172;117;146;270;4;4.300;457;3.655;188;866;12.410;87.950;744;20.933
BRANDENBURG INSGESAMT;;;148.655;144.383;1.096;3.176;19.913;1.468.651;568.216;706.835;181.276;12.324;35.727;162.165;19.062;699;111.825;563.350;580;2.466;153.555;63.929;69.979;3.363;5.236;2.614;3.119;5.277;38;55.275;7.749;43.561;3.965;13.878;225.174;1.842.480;728;369.691
BREMEN                    ;;04011  BREMEN, STADT                    ;17.526;17.164;166;196;2.203;247.291;91.827;116.325;36.521;2.618;10.134;25.568;4.362;94;33.886;81.498;436;370;15.992;6.473;7.162;254;685;411;462;539;6;3.043;1.701;1.039;303;1.877;21.282;286.099;505;30.126
;;04012  BREMERHAVEN,STADT                ;3.255;3.175;32;48;382;52.039;21.067;23.537;6.967;468;1.758;4.517;686;44;5.804;17.559;458;100;3.696;1.317;1.830;36;267;57;56;133;-;528;311;194;23;292;4.616;59.910;528;6.333
BREMEN INSGESAMT;;;20.781;20.339;198;244;2.585;299.330;112.894;139.862;43.488;3.086;11.892;30.085;5.048;138;39.690;99.057;440;470;19.688;7.790;8.992;290;952;468;518;672;6;3.571;2.012;1.233;326;2.169;25.898;346.009;509;36.459
HAMBURG                          ;;02000  HAMBURG                          ;57.522;56.441;529;552;7.768;813.847;294.999;378.458;127.162;13.228;45.013;97.804;17.393;657;161.650;257.028;439;2.317;69.394;26.764;34.486;754;3.303;1.149;1.091;1.840;7;8.033;3.676;3.924;433;5.425;85.169;956.538;516;76.399
HAMBURG INSGESAMT;;;57.522;56.441;529;552;7.768;813.847;294.999;378.458;127.162;13.228;45.013;97.804;17.393;657;161.650;257.028;439;2.317;69.394;26.764;34.486;754;3.303;1.149;1.091;1.840;7;8.033;3.676;3.924;433;5.425;85.169;956.538;516;76.399
HESSEN;RB DARMSTADT                     ;06411  DARMSTADT,STADT;5.607;5.485;74;48;680;73.192;25.567;35.958;10.398;1.269;3.637;8.508;1.042;41;12.279;24.149;460;127;4.355;1.676;2.175;38;227;77;71;91;-;644;109;462;73;346;5.472;84.271;529;4.710
;;06412  FRANKFURT AM MAIN,STADT;23.185;22.603;369;213;3.064;343.598;106.055;176.912;53.924;6.707;16.685;55.989;2.408;265;95.032;94.948;450;716;25.056;10.306;12.464;345;936;305;281;416;3;1.974;522;1.208;244;2.290;30.036;396.819;519;16.165
;;06413  OFFENBACH AM MAIN,STADT;4.126;4.014;80;32;554;58.326;19.419;29.170;8.977;760;2.481;7.057;408;39;9.509;18.100;446;88;3.991;1.474;2.010;34;158;56;53;204;2;455;327;108;20;204;4.738;67.190;513;3.424
;;06414  WIESBADEN,STADT;11.613;11.316;162;135;1.555;191.628;77.078;83.011;23.204;8.335;8.983;23.735;1.365;131;69.411;48.979;688;376;18.341;6.817;10.007;140;550;151;256;417;3;1.857;324;1.171;362;3.002;23.576;226.817;814;11.165
;;06431  BERGSTRASSE;18.749;18.202;238;309;2.518;176.649;62.744;84.281;27.332;2.292;10.613;24.249;2.694;74;14.520;64.364;652;257;11.811;4.178;5.849;135;743;257;201;447;1;6.371;480;4.645;1.246;1.072;19.511;214.909;793;23.925
;;06432  DARMSTADT-DIEBURG;19.828;19.293;258;277;2.820;190.619;69.998;90.022;27.916;2.683;10.529;22.821;3.022;51;15.466;70.111;640;141;11.791;3.911;5.716;149;865;316;321;512;1;6.172;1.152;3.990;1.030;802;18.906;229.353;770;24.818
;;06433  GROSS-GERAU;15.172;14.759;224;189;2.008;156.731;57.718;74.317;22.902;1.794;7.612;17.036;1.754;40;16.147;53.317;568;220;10.960;3.334;5.669;136;725;219;431;443;3;3.140;767;1.970;403;896;15.216;187.119;678;16.681
;;06434  HOCHTAUNUSKREIS;12.876;12.544;152;180;1.718;163.192;52.921;80.393;27.365;2.513;12.023;28.691;1.687;47;30.963;53.196;688;63;9.151;3.078;4.542;104;543;84;262;536;2;3.521;435;2.213;873;676;13.411;189.479;799;13.410
;;06435  MAIN-KINZIG-KREIS;24.685;23.674;418;593;3.178;263.068;93.833;128.218;38.223;2.794;13.185;33.996;3.265;106;20.031;94.640;624;287;17.214;5.888;8.420;212;1.125;433;403;729;4;10.286;915;7.484;1.887;1.516;29.303;317.056;752;34.302
;;06436  MAIN-TAUNUS-KREIS;12.771;12.480;167;124;1.650;180.465;64.534;89.807;23.979;2.145;10.046;23.414;1.885;31;45.800;52.949;754;162;14.083;4.166;8.752;117;533;130;132;253;-;2.090;228;1.424;438;716;17.051;210.287;879;10.570
;;06437  ODENWALDKREIS;6.459;6.170;65;224;893;63.374;23.077;30.222;9.401;674;3.136;9.820;1.075;37;3.470;22.874;655;195;3.834;1.255;2.003;47;263;75;63;126;2;4.449;80;3.191;1.178;494;8.972;78.805;814;11.848
;;06438  OFFENBACH;18.977;18.493;302;182;2.500;218.684;76.930;106.294;33.027;2.433;12.430;26.953;2.231;51;26.147;77.712;613;260;13.320;4.890;6.441;189;740;308;403;346;3;2.313;540;1.398;375;833;16.726;254.387;713;17.526
;;06439  RHEINGAU-TAUNUS-KREIS;13.602;13.138;158;306;1.878;123.638;45.094;58.238;18.463;1.843;8.279;19.004;1.720;35;7.620;46.186;660;83;6.650;2.582;3.317;70;307;79;100;194;1;5.455;108;4.137;1.210;717;12.905;150.145;801;16.451
;;06440  WETTERAUKREIS;18.429;17.764;234;431;2.576;195.942;68.052;96.481;29.008;2.401;10.185;26.330;2.485;56;15.157;70.948;631;228;12.922;4.354;6.734;128;710;191;250;551;4;9.247;495;6.491;2.261;1.057;23.454;237.825;766;28.105
;RB ZUSAMMEN;;206.079;199.935;2.901;3.243;27.592;2.399.106;843.020;1.163.324;354.119;38.643;129.824;327.603;27.041;1.004;381.552;792.473;596;3.203;163.479;57.909;84.099;1.844;8.425;2.681;3.227;5.265;29;57.974;6.482;39.892;11.600;14.621;239.277;2.844.462;706;233.100
;RB GIESSEN                       ;06531  GIESSEN;14.173;13.638;165;370;2.010;156.502;54.798;77.510;22.188;2.006;7.543;19.016;2.292;59;12.936;57.318;576;238;10.774;3.558;5.407;121;548;166;273;695;6;6.537;775;4.302;1.460;979;18.528;189.203;696;22.574
;;06532  LAHN-DILL-KREIS;16.152;15.577;189;386;1.973;165.738;59.013;81.542;23.493;1.690;8.162;24.574;2.315;51;12.752;58.352;654;209;10.473;3.264;5.281;102;615;303;275;631;2;7.536;631;4.774;2.131;1.188;19.406;201.296;794;27.332
;;06533  LIMBURG-WEILBURG;11.760;11.270;152;338;1.656;113.974;40.426;55.842;16.204;1.502;6.321;15.730;1.558;59;8.955;39.789;662;217;7.950;2.491;4.156;105;509;118;192;379;-;5.236;439;3.864;933;722;14.125;139.859;812;18.269
;;06534  MARBURG-BIEDENKOPF;14.482;13.970;136;376;1.802;145.037;55.165;69.248;18.937;1.687;6.877;18.931;1.947;113;9.772;51.807;590;384;7.941;2.873;3.852;90;416;133;212;354;11;9.891;408;7.234;2.249;837;19.053;178.572;726;22.757
;;06535  VOGELSBERGKREIS;8.309;7.757;96;456;1.021;72.957;26.200;36.214;9.860;683;2.982;10.445;1.081;16;4.213;25.051;691;135;4.694;1.625;2.280;61;309;93;117;208;1;9.910;222;7.988;1.700;676;15.415;96.681;916;16.890
;RB ZUSAMMEN;;64.876;62.212;738;1.926;8.462;654.208;235.602;320.356;90.682;7.568;31.885;88.696;9.193;298;48.628;232.317;624;1.183;41.832;13.811;20.976;479;2.397;813;1.069;2.267;20;39.110;2.475;28.162;8.473;4.402;86.527;805.611;768;107.822
