;;;Krafträder;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anhänger"
;;08221  HEIDELBERG,STADT;4.944;4.832;58;54;613;61.361;19.874;30.283;10.289;915;4.140;8.295;1.088;51;10.725;21.505;387;76;3.641;1.571;1.682;45;185;54;46;58;-;709;60;550;99;392;4.818;71.123;448;4.444
;;08222  MANNHEIM,STADT;12.188;11.741;270;177;1.533;155.172;51.831;77.380;23.985;1.976;7.787;18.468;1.582;114;28.471;49.214;501;160;12.699;4.474;6.183;126;879;253;304;478;2;1.415;702;582;131;1.185;15.459;182.819;590;12.667
;;08225  NECKAR-ODENWALD-KREIS;10.473;9.996;83;394;1.323;96.537;33.328;48.929;13.177;1.103;4.357;14.112;1.357;43;8.194;32.466;671;83;5.712;1.769;2.910;70;336;129;155;339;4;8.643;239;6.451;1.953;577;15.015;122.025;849;22.204
;;08226  RHEIN-NECKAR-KREIS;33.622;32.707;427;488;4.669;357.113;123.607;175.458;52.523;5.525;21.360;44.772;5.056;43;46.947;127.461;651;171;19.762;7.250;9.609;183;1.193;359;424;735;9;10.316;951;6.833;2.532;1.577;31.826;422.561;771;42.561
;;08231  PFORZHEIM,STADT;4.787;4.634;81;72;632;63.433;22.079;30.251;10.247;856;3.233;8.399;639;52;8.266;20.199;503;63;3.477;1.212;1.764;40;189;77;55;140;-;611;67;430;114;313;4.464;72.684;577;5.855
;;08235  CALW;11.825;11.493;117;215;1.727;107.927;36.964;52.265;16.789;1.909;5.310;15.382;1.850;38;10.829;35.652;674;155;7.208;1.994;3.415;77;842;239;245;393;3;7.367;479;4.413;2.475;662;15.392;135.144;844;21.842
;;08236  ENZKREIS;16.073;15.669;166;238;2.300;135.308;47.972;63.471;21.758;2.107;7.955;18.134;2.344;2;12.205;47.880;677;129;7.448;2.600;3.624;68;463;114;182;396;1;6.588;657;3.890;2.041;472;14.637;166.018;831;26.294
;;08237  FREUDENSTADT;9.184;8.883;93;208;1.120;79.060;26.363;40.054;11.674;969;3.699;14.831;1.310;31;7.693;25.325;668;175;4.699;1.377;2.379;52;329;111;143;307;1;6.881;249;4.372;2.260;498;12.253;100.497;849;16.636
;RB ZUSAMMEN;;166.053;161.199;2.214;2.640;22.548;1.673.044;574.364;816.358;257.240;25.082;91.245;220.966;25.050;582;205.355;572.207;596;1.898;103.383;36.154;50.274;1.125;6.682;2.117;2.539;4.457;35;64.272;6.031;39.909;18.332;8.996;178.549;2.017.646;719;250.761
;RB FREIBURG                      ;08311  FREIBURG I.BREISG.STADT;8.908;8.709;128;71;1.225;95.436;31.435;47.138;15.212;1.651;4.804;11.466;3.078;102;16.690;31.855;413;366;6.919;2.611;3.336;101;391;114;188;176;2;1.428;97;1.079;252;516;9.229;113.573;492;8.183
;;08315  BREISGAU-HOCHSCHWARZWALD;17.627;17.089;247;291;2.349;162.568;56.548;78.629;24.714;2.677;8.767;24.089;3.964;33;14.823;57.048;614;171;11.550;4.106;5.764;115;513;168;315;565;4;13.884;588;10.216;3.080;1.315;26.920;207.115;782;29.426
;;08316  EMMENDINGEN;11.911;11.562;161;188;1.566;104.392;37.087;50.834;14.533;1.938;5.166;13.056;2.222;33;9.096;37.110;626;96;7.073;2.464;3.530;54;370;160;188;305;2;8.710;350;6.092;2.268;648;16.527;132.830;796;19.175
;;08317  ORTENAUKREIS;30.677;29.752;400;525;4.088;278.823;99.468;136.786;38.542;4.027;13.210;37.175;4.675;85;27.660;97.002;645;521;19.487;6.379;9.407;216;1.153;339;596;1.391;6;21.532;1.771;14.921;4.840;1.610;43.150;352.650;815;56.707
;;08325  ROTTWEIL;11.273;10.905;123;245;1.454;96.045;33.476;47.422;14.042;1.105;4.860;16.740;1.800;32;10.005;31.983;685;76;5.852;1.661;3.091;74;326;123;175;400;2;8.880;428;5.783;2.669;635;15.443;122.761;876;21.054
